,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Woody Wetlands,Wetlands,2,1,45.00603771925691,-73.53807101002806,65.376686,106724289.76280645,"[-1.98 -1.42 -1.04 -0.71 -0.44 -0.18  0.07  0.33  0.59  0.89  1.19  1.49
  1.79  2.09  2.39  2.73  3.03  3.37  3.67  4.    4.3   4.57  4.83  5.05
  5.28  5.5   5.73  5.95  6.18  6.4   6.66  6.89  7.11  7.34  7.52  7.71
  7.9   8.05  8.2   8.35  8.5   8.65  8.76  8.91  9.06  9.17  9.32  9.44
  9.58  9.7   9.85 10.   10.11 10.26 10.41 10.52 10.67 10.82 10.93 11.08
 11.2  11.35 11.46 11.61 11.72 11.83 11.98 12.09 12.21 12.36 12.47 12.58
 12.73 12.84 12.96 13.07 13.22 13.33 13.44 13.56 13.67 13.78 13.93 14.04
 14.16 14.27 14.42 14.53 14.68 14.83 14.98 15.17 15.35 15.54 15.8  16.07
 16.37 16.78 17.3  17.75 18.28]",0,85.0,7,0,3,137940200300216260
1,Evergreen Forest,Forest,2,1,45.000870583952434,-73.52558359157294,64.68742,106724289.928119,"[-6.18 -5.95 -5.73 -5.5  -5.28 -5.01 -4.79 -4.53 -4.27 -3.93 -3.44 -2.92
 -2.58 -2.28 -2.06 -1.83 -1.64 -1.46 -1.31 -1.16 -1.01 -0.86 -0.74 -0.63
 -0.52 -0.41 -0.29 -0.18 -0.07  0.03  0.14  0.26  0.37  0.44  0.56  0.67
  0.78  0.89  1.01  1.08  1.19  1.31  1.42  1.49  1.61  1.72  1.79  1.91
  2.02  2.13  2.21  2.32  2.43  2.58  2.69  2.8   2.92  3.03  3.18  3.29
  3.44  3.55  3.7   3.82  3.97  4.12  4.23  4.38  4.53  4.72  4.9   5.09
  5.31  5.58  5.84  6.14  6.4   6.66  6.89  7.11  7.3   7.52  7.71  7.94
  8.2   8.5   8.84  9.21  9.73 10.22 10.6  10.86 11.12 11.35 11.53 11.76
 11.95 12.17 12.36 12.58 12.84]",0,95.0,7,0,3,137940200300216280
2,Cultivated Crops,Planted/Cultivated,2,1,44.95917558435978,-73.42511679614624,8.926671,106724291.25867856,"[-3.4  -3.14 -2.95 -2.77 -2.62 -2.47 -2.36 -2.24 -2.17 -2.06 -1.98 -1.91
 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.46 -1.38 -1.34 -1.27 -1.23 -1.19
 -1.12 -1.08 -1.04 -1.01 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22
 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22
  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67
  0.71  0.74  0.78  0.86  0.89  0.93  0.97  1.01  1.08  1.12  1.16  1.23
  1.27  1.34  1.42  1.46  1.53  1.61  1.68  1.76  1.83  1.94  2.06  2.17
  2.32  2.47  2.69  2.95  3.44]",0,0.0,7,0,3,137940200300216440
3,Cultivated Crops,Planted/Cultivated,2,1,44.94361012631623,-73.38769568832089,13.95894,106724291.75453956,"[-4.19 -3.74 -3.4  -3.14 -2.95 -2.77 -2.62 -2.51 -2.36 -2.28 -2.17 -2.06
 -1.98 -1.91 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.46 -1.38 -1.34 -1.27
 -1.23 -1.16 -1.12 -1.08 -1.04 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.67
  0.71  0.74  0.78  0.82  0.86  0.93  0.97  1.01  1.04  1.12  1.16  1.23
  1.27  1.34  1.38  1.46  1.53  1.61  1.68  1.76  1.83  1.94  2.06  2.17
  2.32  2.47  2.69  3.03  3.7 ]",0,0.0,7,0,3,137940200300216500
4,Open Water,Water,2,1,44.93840179777464,-73.37524459965002,-0.670549,106724291.91985416,"[-1.01 -1.01 -0.97 -0.93 -0.89 -0.89 -0.86 -0.82 -0.82 -0.78 -0.74 -0.74
 -0.71 -0.67 -0.67 -0.63 -0.59 -0.59 -0.56 -0.52 -0.52 -0.48 -0.48 -0.44
 -0.41 -0.41 -0.37 -0.33 -0.33 -0.29 -0.29 -0.26 -0.26 -0.22 -0.18 -0.18
 -0.14 -0.14 -0.11 -0.07 -0.07 -0.03 -0.03  0.    0.    0.03  0.07  0.07
  0.11  0.11  0.14  0.14  0.18  0.22  0.22  0.26  0.26  0.29  0.33  0.33
  0.37  0.37  0.41  0.44  0.44  0.48  0.48  0.52  0.56  0.56  0.59  0.63
  0.63  0.67  0.71  0.71  0.74  0.78  0.82  0.82  0.86  0.89  0.93  0.93
  0.97  1.01  1.04  1.08  1.12  1.12  1.16  1.19  1.23  1.27  1.34  1.38
  1.42  1.46  1.53  1.57  1.64]",99,0.0,0,0,3,137940200300216520
5,Open Water,Water,2,1,44.92799599467117,-73.35033385442227,-0.8901217,106724292.25041416,"[-1.04 -1.04 -1.01 -0.97 -0.93 -0.89 -0.89 -0.86 -0.82 -0.78 -0.78 -0.74
 -0.71 -0.67 -0.67 -0.63 -0.59 -0.59 -0.56 -0.52 -0.52 -0.48 -0.44 -0.41
 -0.41 -0.37 -0.33 -0.33 -0.29 -0.26 -0.26 -0.22 -0.22 -0.18 -0.14 -0.14
 -0.11 -0.07 -0.07 -0.03  0.    0.    0.03  0.07  0.07  0.11  0.14  0.14
  0.18  0.22  0.22  0.26  0.29  0.29  0.33  0.37  0.37  0.41  0.44  0.44
  0.48  0.52  0.52  0.56  0.59  0.63  0.63  0.67  0.71  0.71  0.74  0.78
  0.82  0.86  0.86  0.89  0.93  0.97  1.01  1.01  1.04  1.08  1.12  1.16
  1.19  1.23  1.27  1.31  1.34  1.38  1.42  1.46  1.49  1.57  1.61  1.64
  1.68  1.76  1.79  1.87  1.94]",100,0.0,0,0,3,137940200300216560
6,Open Water,Water,2,1,44.9253883290561,-73.34410992903442,-0.7100523,106724292.33305416,"[-1.49 -1.46 -1.42 -1.38 -1.34 -1.31 -1.27 -1.23 -1.19 -1.16 -1.12 -1.08
 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.48 -0.44 -0.41 -0.37 -0.33 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.18 -0.14 -0.11 -0.07 -0.03 -0.03  0.    0.03  0.07
  0.11  0.11  0.14  0.18  0.22  0.26  0.26  0.29  0.33  0.37  0.41  0.41
  0.44  0.48  0.52  0.56  0.59  0.63  0.63  0.67  0.71  0.74  0.78  0.82
  0.86  0.89  0.93  0.97  1.01  1.04  1.08  1.12  1.16  1.19  1.23  1.27
  1.31  1.34  1.38  1.46  1.49  1.53  1.61  1.64  1.72  1.76  1.83  1.87
  1.94  2.02  2.09  2.17  2.28]",100,0.0,0,0,3,137940200300216570
7,Woody Wetlands,Wetlands,3,1,45.00519032990987,-73.55005285683407,50.572693,106724289.58510745,"[-4.34 -3.55 -3.14 -2.84 -2.58 -2.36 -2.13 -1.94 -1.79 -1.64 -1.49 -1.34
 -1.23 -1.12 -1.01 -0.89 -0.82 -0.71 -0.63 -0.56 -0.44 -0.37 -0.29 -0.22
 -0.14 -0.07  0.    0.07  0.14  0.26  0.33  0.41  0.48  0.56  0.67  0.74
  0.86  0.93  1.04  1.12  1.23  1.34  1.42  1.53  1.64  1.76  1.87  1.98
  2.09  2.21  2.32  2.43  2.54  2.65  2.77  2.92  3.03  3.14  3.25  3.37
  3.52  3.63  3.74  3.85  3.97  4.08  4.19  4.3   4.42  4.53  4.64  4.75
  4.9   5.01  5.13  5.28  5.39  5.54  5.69  5.84  5.99  6.1   6.25  6.44
  6.59  6.74  6.89  7.08  7.26  7.45  7.67  7.86  8.09  8.31  8.5   8.72
  8.99  9.25  9.62 10.11 10.93]",0,78.0,7,0,3,137940300300211336
8,Woody Wetlands,Wetlands,3,1,45.00260150801372,-73.5438106243782,51.363163,106724289.66774744,"[-3.63 -3.33 -3.1  -2.92 -2.73 -2.62 -2.47 -2.36 -2.24 -2.17 -2.06 -1.98
 -1.91 -1.83 -1.76 -1.68 -1.64 -1.57 -1.49 -1.46 -1.38 -1.34 -1.27 -1.23
 -1.16 -1.12 -1.08 -1.04 -0.97 -0.93 -0.89 -0.86 -0.82 -0.74 -0.71 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26
  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.71  0.74
  0.78  0.82  0.86  0.93  0.97  1.01  1.04  1.12  1.16  1.23  1.27  1.34
  1.38  1.46  1.53  1.61  1.68  1.76  1.83  1.91  2.02  2.13  2.24  2.39
  2.54  2.73  2.99  3.37  4.  ]",0,0.0,7,0,3,137940300300211346
9,Cultivated Crops,Planted/Cultivated,3,1,44.98450138016111,-73.50011059223382,28.035423,106724290.246283,"[-3.67 -3.25 -2.95 -2.77 -2.58 -2.43 -2.28 -2.17 -2.06 -1.94 -1.83 -1.76
 -1.68 -1.61 -1.53 -1.46 -1.38 -1.31 -1.27 -1.19 -1.16 -1.12 -1.04 -1.01
 -0.97 -0.93 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52
 -0.48 -0.44 -0.41 -0.37 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.14
 -0.11 -0.07 -0.03  0.    0.03  0.07  0.07  0.11  0.14  0.18  0.22  0.26
  0.29  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67
  0.71  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.04  1.08  1.12  1.16
  1.23  1.27  1.34  1.38  1.46  1.53  1.61  1.68  1.76  1.83  1.94  2.06
  2.21  2.36  2.58  2.88  3.4 ]",0,0.0,7,0,3,137940300300211416
