,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Mixed Forest,Forest,2,1,41.5967307487203,-75.04866591095909,187.08862,64375292.00943,"[-3.25 -2.58 -2.2  -1.9  -1.68 -1.49 -1.34 -1.23 -1.08 -0.97 -0.86 -0.78
 -0.67 -0.59 -0.52 -0.41 -0.33 -0.26 -0.18 -0.11 -0.03  0.03  0.11  0.18
  0.26  0.33  0.44  0.52  0.59  0.71  0.78  0.89  1.01  1.12  1.23  1.34
  1.49  1.64  1.79  2.02  2.24  2.5   2.95  3.93  5.5   6.59  7.71  8.68
 10.03 11.15 11.68 12.09 12.43 12.73 13.03 13.33 13.63 13.96 14.26 14.56
 14.86 15.12 15.42 15.69 15.95 16.25 16.51 16.81 17.11 17.37 17.67 17.89
 18.16 18.38 18.64 18.87 19.13 19.43 19.69 19.95 20.25 20.52 20.82 21.11
 21.41 21.71 22.01 22.35 22.69 23.06 23.47 23.89 24.3  24.75 25.2  25.68
 26.21 26.88 27.48 28.01 28.6 ]",0,99.0,7,0,3,61960200200275211
1,Woody Wetlands,Wetlands,2,1,41.66298939699564,-74.92580482303093,306.39804,64375293.8358851,"[-3.29 -3.03 -2.84 -2.65 -2.5  -2.39 -2.28 -2.17 -2.05 -1.98 -1.9  -1.83
 -1.75 -1.68 -1.6  -1.57 -1.49 -1.46 -1.38 -1.34 -1.27 -1.23 -1.19 -1.12
 -1.08 -1.04 -1.01 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.59
 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14
 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.11  0.14  0.18  0.22  0.26
  0.29  0.33  0.37  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74
  0.78  0.82  0.89  0.93  0.97  1.01  1.04  1.12  1.16  1.19  1.27  1.31
  1.38  1.42  1.49  1.57  1.64  1.72  1.79  1.87  1.94  2.05  2.13  2.24
  2.39  2.54  2.77  3.03  3.48]",0,90.0,7,0,3,61960200200275431
2,Mixed Forest,Forest,2,1,41.74678723261851,-74.76987235356627,392.1028,64375296.14991625,"[-3.03 -2.73 -2.5  -2.28 -2.13 -1.94 -1.83 -1.72 -1.6  -1.49 -1.38 -1.31
 -1.23 -1.16 -1.08 -1.01 -0.93 -0.86 -0.78 -0.74 -0.67 -0.59 -0.56 -0.48
 -0.41 -0.37 -0.29 -0.26 -0.18 -0.14 -0.07 -0.03  0.03  0.07  0.14  0.18
  0.26  0.29  0.37  0.41  0.48  0.52  0.59  0.67  0.74  0.78  0.86  0.93
  1.01  1.08  1.16  1.23  1.34  1.42  1.53  1.64  1.75  1.87  2.02  2.17
  2.35  2.54  2.77  3.03  3.29  3.59  3.89  4.19  4.52  4.86  5.2   5.61
  6.06  6.55  7.15  7.74  8.38  8.98  9.5   9.99 10.44 10.89 11.34 11.75
 12.2  12.61 13.02 13.4  13.77 14.15 14.52 14.9  15.27 15.68 16.09 16.5
 16.92 17.37 17.85 18.41 19.09]",0,100.0,7,0,3,61960200200275711
3,Evergreen Forest,Forest,2,1,41.776656856142864,-74.71403211832634,395.82535,64375296.9763718,"[-2.84 -2.28 -1.9  -1.57 -1.31 -1.12 -0.93 -0.74 -0.59 -0.44 -0.33 -0.18
 -0.07  0.07  0.18  0.33  0.48  0.63  0.78  0.93  1.12  1.31  1.49  1.68
  1.9   2.13  2.32  2.54  2.77  2.99  3.21  3.48  3.74  4.    4.34  4.75
  5.2   5.61  5.95  6.28  6.55  6.85  7.15  7.45  7.74  8.01  8.23  8.49
  8.72  8.94  9.2   9.43  9.65  9.92 10.1  10.33 10.48 10.66 10.81 10.96
 11.11 11.26 11.41 11.53 11.68 11.79 11.9  12.05 12.16 12.27 12.39 12.54
 12.65 12.76 12.91 13.02 13.14 13.29 13.4  13.55 13.66 13.81 13.92 14.03
 14.18 14.3  14.45 14.56 14.67 14.82 14.97 15.12 15.27 15.42 15.61 15.79
 16.02 16.28 16.62 17.03 17.59]",0,100.0,7,0,3,61960200200275811
4,Woody Wetlands,Wetlands,2,1,41.80376329469271,-74.66311458737785,379.45682,64375297.7284514,"[-3.03 -2.32 -1.98 -1.72 -1.53 -1.38 -1.27 -1.12 -1.01 -0.93 -0.82 -0.74
 -0.63 -0.56 -0.48 -0.41 -0.29 -0.22 -0.14 -0.07  0.    0.07  0.14  0.22
  0.29  0.37  0.44  0.56  0.63  0.71  0.82  0.93  1.04  1.16  1.27  1.42
  1.57  1.75  1.94  2.17  2.47  2.84  3.4   4.04  4.6   5.09  5.54  5.98
  6.47  6.96  7.48  8.16  8.76  9.17  9.5   9.84 10.18 10.48 10.85 11.23
 11.68 12.09 12.5  12.84 13.17 13.47 13.73 14.   14.22 14.48 14.71 14.97
 15.16 15.38 15.61 15.79 16.02 16.21 16.43 16.62 16.8  17.03 17.22 17.4
 17.59 17.78 18.   18.26 18.53 18.83 19.16 19.46 19.76 20.06 20.32 20.62
 20.88 21.22 21.6  22.08 22.76]",0,100.0,7,0,3,61960200200275901
5,Pasture/Hay,Planted/Cultivated,2,1,41.81268780921971,-74.64632065620188,402.09067,64375297.9763714,"[-3.81 -3.48 -3.21 -3.03 -2.84 -2.65 -2.54 -2.39 -2.28 -2.17 -2.05 -1.94
 -1.87 -1.75 -1.68 -1.6  -1.53 -1.46 -1.42 -1.34 -1.27 -1.23 -1.16 -1.12
 -1.04 -1.01 -0.97 -0.93 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.56
 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11
 -0.07 -0.03  0.    0.03  0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29
  0.33  0.37  0.41  0.44  0.52  0.56  0.59  0.63  0.67  0.71  0.74  0.78
  0.82  0.86  0.93  0.97  1.01  1.04  1.12  1.16  1.19  1.27  1.31  1.38
  1.42  1.49  1.53  1.6   1.68  1.75  1.83  1.9   1.98  2.09  2.17  2.28
  2.43  2.54  2.73  2.95  3.4 ]",0,0.0,7,0,3,61960200200275931
6,Deciduous Forest,Forest,2,1,41.81566717503259,-74.64072895059586,402.37268,64375298.0590114,"[-1.31 -1.08 -0.89 -0.71 -0.52 -0.37 -0.22 -0.07  0.07  0.22  0.37  0.52
  0.71  0.86  1.04  1.23  1.38  1.57  1.72  1.87  2.02  2.13  2.24  2.35
  2.47  2.54  2.65  2.73  2.8   2.88  2.99  3.06  3.14  3.21  3.29  3.36
  3.44  3.51  3.59  3.66  3.74  3.85  3.93  4.04  4.11  4.23  4.34  4.45
  4.6   4.71  4.82  4.97  5.09  5.2   5.35  5.46  5.57  5.69  5.84  5.95
  6.1   6.25  6.43  6.66  6.92  7.18  7.41  7.63  7.82  7.97  8.12  8.27
  8.42  8.57  8.72  8.87  9.02  9.2   9.35  9.5   9.65  9.8   9.95 10.1
 10.25 10.4  10.55 10.74 10.96 11.23 11.49 11.83 12.09 12.31 12.5  12.69
 12.87 13.06 13.25 13.43 13.66]",0,99.0,7,0,3,61960200200275941
7,Pasture/Hay,Planted/Cultivated,2,1,41.82458348408254,-74.62394535535292,434.7781,64375298.3069314,"[-3.93 -3.48 -3.18 -2.92 -2.73 -2.54 -2.39 -2.28 -2.17 -2.05 -1.98 -1.87
 -1.79 -1.72 -1.64 -1.6  -1.53 -1.46 -1.42 -1.34 -1.31 -1.23 -1.19 -1.12
 -1.08 -1.04 -1.01 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63
 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26
  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71
  0.78  0.82  0.86  0.89  0.93  1.01  1.04  1.08  1.16  1.19  1.23  1.31
  1.34  1.42  1.49  1.57  1.6   1.72  1.79  1.87  1.98  2.05  2.17  2.32
  2.47  2.65  2.92  3.25  3.96]",0,0.0,7,0,3,61960200200275971
8,Developed Open Space,Developed,2,1,41.82754974259489,-74.6183422606927,445.44452,64375298.3895714,"[-3.59 -3.29 -3.03 -2.8  -2.58 -2.43 -2.28 -2.13 -2.02 -1.87 -1.75 -1.64
 -1.57 -1.46 -1.38 -1.27 -1.19 -1.12 -1.01 -0.93 -0.86 -0.78 -0.71 -0.63
 -0.56 -0.48 -0.41 -0.33 -0.29 -0.22 -0.14 -0.07  0.    0.07  0.14  0.18
  0.26  0.33  0.41  0.48  0.56  0.63  0.71  0.78  0.86  0.93  1.04  1.12
  1.23  1.31  1.42  1.53  1.64  1.75  1.9   2.05  2.24  2.47  2.69  3.03
  3.48  4.19  6.06  7.11  7.78  8.42  9.02  9.58 10.14 10.7  11.34 11.97
 12.61 13.25 13.85 14.48 15.08 15.64 16.21 16.8  17.52 18.3  18.98 19.54
 20.06 20.55 21.   21.48 21.93 22.38 22.83 23.28 23.69 24.1  24.48 24.85
 25.27 25.68 26.13 26.61 27.29]",0,86.0,7,0,3,61960200200275981
9,Deciduous Forest,Forest,2,1,41.83051914937797,-74.6127505047311,470.59155,64375298.4722114,"[-4.75 -4.41 -4.11 -3.85 -3.63 -3.4  -3.21 -3.03 -2.84 -2.69 -2.54 -2.39
 -2.24 -2.13 -1.98 -1.87 -1.75 -1.64 -1.57 -1.46 -1.34 -1.27 -1.16 -1.08
 -0.97 -0.89 -0.82 -0.74 -0.63 -0.56 -0.48 -0.41 -0.33 -0.26 -0.18 -0.11
 -0.03  0.03  0.14  0.22  0.29  0.37  0.44  0.52  0.59  0.67  0.78  0.86
  0.93  1.04  1.12  1.23  1.31  1.42  1.53  1.64  1.75  1.87  2.02  2.17
  2.32  2.5   2.69  2.92  3.18  3.48  3.85  4.23  4.64  5.09  5.61  6.13
  6.77  7.41  8.08  8.72  9.35 10.03 10.7  11.3  11.9  12.5  13.14 13.73
 14.26 14.75 15.19 15.61 16.02 16.43 16.88 17.33 17.78 18.26 18.79 19.31
 19.87 20.44 21.03 21.71 22.49]",0,100.0,7,0,3,61960200200275991
