,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,shot_number
56520,2,1,42.606410402137634,-74.41236175899452,605.4336,42637111.3424667,"[-3.96 -3.59 -3.29 -3.06 -2.88 -2.69 -2.54 -2.39 -2.24 -2.09 -1.98 -1.87
 -1.75 -1.64 -1.57 -1.45 -1.38 -1.3  -1.19 -1.12 -1.04 -1.01 -0.93 -0.86
 -0.78 -0.71 -0.63 -0.59 -0.52 -0.44 -0.41 -0.33 -0.26 -0.22 -0.14 -0.07
 -0.03  0.03  0.11  0.14  0.22  0.29  0.33  0.41  0.48  0.56  0.59  0.67
  0.74  0.78  0.86  0.93  0.97  1.04  1.12  1.16  1.23  1.3   1.34  1.42
  1.45  1.53  1.6   1.64  1.72  1.75  1.83  1.87  1.94  2.02  2.05  2.13
  2.17  2.24  2.32  2.39  2.43  2.5   2.58  2.65  2.73  2.84  2.91  2.99
  3.1   3.18  3.29  3.4   3.51  3.66  3.77  3.92  4.07  4.22  4.37  4.52
  4.71  4.9   5.08  5.35  5.76]",0,100.0,22920200300214400
56530,2,1,42.60320311784244,-74.40600989150403,538.61884,42637111.4333707,"[-4.64 -4.37 -4.15 -3.92 -3.74 -3.55 -3.36 -3.18 -3.03 -2.88 -2.69 -2.58
 -2.43 -2.28 -2.13 -2.02 -1.87 -1.75 -1.6  -1.49 -1.38 -1.23 -1.12 -1.01
 -0.89 -0.78 -0.67 -0.56 -0.44 -0.33 -0.22 -0.11  0.    0.11  0.22  0.33
  0.44  0.56  0.67  0.78  0.89  1.01  1.12  1.23  1.38  1.49  1.6   1.75
  1.87  2.02  2.17  2.28  2.43  2.58  2.73  2.91  3.06  3.25  3.4   3.59
  3.81  4.    4.22  4.45  4.71  4.97  5.27  5.61  6.02  6.47  6.99  7.55
  8.08  8.56  9.01  9.42  9.8  10.21 10.62 11.03 11.45 11.86 12.23 12.57
 12.91 13.2  13.5  13.8  14.1  14.4  14.74 15.08 15.41 15.79 16.2  16.57
 16.98 17.36 17.77 18.22 18.78]",0,100.0,22920200300214410
56550,2,1,42.59737924815135,-74.39449810557059,492.4725,42637111.5986527,"[-4.19 -3.92 -3.66 -3.4  -3.21 -2.99 -2.84 -2.65 -2.5  -2.35 -2.24 -2.09
 -1.98 -1.87 -1.75 -1.64 -1.53 -1.42 -1.3  -1.19 -1.12 -1.01 -0.93 -0.82
 -0.74 -0.63 -0.56 -0.44 -0.37 -0.26 -0.18 -0.07  0.    0.11  0.18  0.26
  0.37  0.44  0.56  0.63  0.74  0.86  0.93  1.04  1.12  1.23  1.34  1.45
  1.57  1.68  1.79  1.9   2.05  2.17  2.32  2.46  2.61  2.76  2.95  3.14
  3.33  3.55  3.77  4.04  4.34  4.64  5.01  5.46  5.98  6.62  7.33  8.
  8.53  8.98  9.35  9.69 10.02 10.32 10.62 10.92 11.22 11.56 11.86 12.19
 12.57 12.94 13.32 13.77 14.21 14.74 15.3  15.9  16.42 16.83 17.25 17.62
 17.99 18.37 18.78 19.23 19.83]",0,100.0,22920200300214430
56560,2,1,42.59445610928146,-74.38871261142614,410.72046,42637111.6813127,"[-4.45 -4.07 -3.78 -3.55 -3.33 -3.14 -2.99 -2.8  -2.65 -2.5  -2.35 -2.2
 -2.05 -1.9  -1.79 -1.68 -1.57 -1.45 -1.34 -1.27 -1.16 -1.08 -1.01 -0.93
 -0.86 -0.78 -0.71 -0.63 -0.56 -0.52 -0.44 -0.37 -0.29 -0.26 -0.18 -0.11
 -0.07  0.    0.07  0.11  0.18  0.26  0.29  0.37  0.44  0.48  0.56  0.63
  0.71  0.78  0.82  0.89  0.97  1.04  1.12  1.19  1.3   1.38  1.45  1.57
  1.64  1.75  1.87  1.98  2.13  2.28  2.43  2.58  2.8   3.03  3.29  3.66
  4.11  4.52  4.97  5.38  5.8   6.28  6.81  7.26  7.63  7.97  8.34  8.87
  9.46  9.88 10.21 10.47 10.77 11.11 11.48 11.9  12.38 12.87 13.32 13.73
 14.1  14.48 14.82 15.15 15.53]",0,98.0,22920200300214440
56570,2,1,42.591519024109154,-74.38288774149196,252.08513,42637111.7639727,"[-1.79 -1.23 -0.86 -0.52 -0.22  0.07  0.37  0.71  1.12  1.57  2.02  2.39
  2.73  3.03  3.29  3.55  3.78  4.04  4.26  4.52  4.75  5.01  5.27  5.53
  5.8   6.02  6.21  6.43  6.62  6.84  7.07  7.33  7.59  7.86  8.12  8.38
  8.64  8.9   9.17  9.39  9.65  9.91 10.21 10.48 10.7  10.96 11.19 11.45
 11.67 11.94 12.2  12.42 12.68 12.91 13.13 13.36 13.58 13.81 14.03 14.26
 14.52 14.74 15.   15.23 15.45 15.68 15.87 16.09 16.28 16.46 16.69 16.88
 17.14 17.36 17.63 17.89 18.15 18.41 18.67 18.9  19.12 19.31 19.5  19.68
 19.87 20.1  20.28 20.51 20.69 20.92 21.14 21.37 21.63 21.89 22.15 22.42
 22.68 22.98 23.28 23.69 24.29]",0,96.0,22920200300214450
56650,2,1,42.568295655733394,-74.33702309444406,384.55542,42637112.42510625,"[-4.07 -3.78 -3.51 -3.29 -3.1  -2.91 -2.73 -2.58 -2.39 -2.24 -2.09 -1.98
 -1.83 -1.72 -1.6  -1.49 -1.38 -1.27 -1.16 -1.04 -0.93 -0.86 -0.74 -0.63
 -0.56 -0.48 -0.37 -0.29 -0.18 -0.11 -0.03  0.03  0.14  0.22  0.29  0.41
  0.48  0.59  0.67  0.78  0.86  0.97  1.04  1.16  1.27  1.34  1.45  1.57
  1.64  1.75  1.87  1.98  2.05  2.17  2.24  2.35  2.47  2.54  2.65  2.73
  2.84  2.91  3.03  3.1   3.21  3.29  3.4   3.48  3.59  3.7   3.78  3.89
  3.96  4.07  4.19  4.3   4.37  4.49  4.6   4.71  4.82  4.94  5.05  5.16
  5.27  5.42  5.53  5.68  5.8   5.95  6.1   6.21  6.36  6.51  6.66  6.81
  6.99  7.14  7.37  7.59  7.93]",0,99.0,22920200300214530
55710,3,1,42.836316019716776,-74.88528168182063,372.446,42637104.57799385,"[-3.81 -3.66 -3.48 -3.29 -3.1  -2.88 -2.65 -2.47 -2.28 -2.13 -1.98 -1.87
 -1.79 -1.68 -1.6  -1.49 -1.42 -1.34 -1.27 -1.19 -1.16 -1.08 -1.01 -0.93
 -0.89 -0.82 -0.74 -0.71 -0.63 -0.59 -0.52 -0.48 -0.41 -0.37 -0.29 -0.26
 -0.18 -0.14 -0.07 -0.03  0.    0.07  0.11  0.18  0.22  0.29  0.33  0.41
  0.44  0.52  0.56  0.63  0.71  0.74  0.82  0.86  0.93  1.01  1.08  1.12
  1.19  1.27  1.34  1.42  1.49  1.57  1.68  1.75  1.83  1.94  2.05  2.17
  2.28  2.39  2.54  2.69  2.84  3.03  3.21  3.36  3.51  3.7   3.81  3.96
  4.07  4.22  4.34  4.45  4.6   4.71  4.86  5.01  5.16  5.35  5.57  5.8
  5.98  6.21  6.4   6.58  6.81]",0,100.0,22920300300208558
56500,3,1,42.606896273937444,-74.42623844662185,531.3794,42637111.1482627,"[-3.36 -3.1  -2.84 -2.61 -2.39 -2.17 -1.94 -1.72 -1.53 -1.34 -1.15 -0.97
 -0.82 -0.67 -0.52 -0.41 -0.29 -0.14 -0.03  0.07  0.18  0.29  0.44  0.56
  0.71  0.82  0.97  1.12  1.27  1.38  1.53  1.64  1.79  1.9   2.02  2.17
  2.28  2.39  2.5   2.61  2.76  2.88  2.99  3.1   3.25  3.36  3.47  3.59
  3.74  3.85  3.96  4.11  4.22  4.34  4.49  4.6   4.75  4.86  4.97  5.12
  5.23  5.35  5.46  5.57  5.72  5.83  5.94  6.09  6.21  6.36  6.47  6.62
  6.77  6.92  7.07  7.22  7.37  7.48  7.63  7.78  7.89  8.04  8.15  8.3
  8.41  8.53  8.64  8.79  8.9   9.05  9.16  9.31  9.46  9.61  9.8   9.99
 10.17 10.4  10.58 10.81 11.07]",0,100.0,22920300300209348
56520,3,1,42.60109931851887,-74.4147870235219,589.0925,42637111.3135427,"[-4.22 -3.66 -3.29 -3.03 -2.8  -2.61 -2.46 -2.32 -2.17 -2.05 -1.94 -1.83
 -1.75 -1.68 -1.57 -1.49 -1.42 -1.34 -1.3  -1.23 -1.16 -1.12 -1.04 -1.01
 -0.97 -0.89 -0.86 -0.82 -0.78 -0.74 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48
 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.11 -0.07
 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29  0.33  0.37
  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.78  0.82  0.86
  0.89  0.93  1.01  1.04  1.08  1.12  1.19  1.23  1.3   1.34  1.42  1.49
  1.53  1.6   1.68  1.75  1.83  1.9   2.02  2.09  2.2   2.32  2.46  2.61
  2.8   3.03  3.29  3.7   4.37]",0,7.0,22920300300209368
56530,3,1,42.598192630245855,-74.40903833100118,574.5334,42637111.3961827,"[-3.77 -3.48 -3.21 -2.99 -2.8  -2.61 -2.46 -2.32 -2.17 -2.02 -1.9  -1.79
 -1.68 -1.57 -1.45 -1.38 -1.27 -1.19 -1.12 -1.04 -0.93 -0.86 -0.78 -0.71
 -0.63 -0.56 -0.48 -0.41 -0.37 -0.29 -0.22 -0.14 -0.07  0.    0.07  0.11
  0.18  0.26  0.33  0.41  0.48  0.56  0.63  0.71  0.78  0.86  0.93  1.01
  1.08  1.19  1.27  1.38  1.45  1.57  1.68  1.79  1.9   2.02  2.13  2.28
  2.43  2.58  2.73  2.91  3.1   3.33  3.55  3.77  4.04  4.34  4.67  5.05
  5.46  5.91  6.36  6.84  7.37  7.89  8.45  8.98  9.46  9.91 10.36 10.92
 11.6  12.64 13.77 14.66 15.41 16.09 16.68 17.21 17.73 18.22 18.74 19.34
 19.98 20.65 21.25 21.89 22.52]",0,100.0,22920300300209378
