,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,shot_number
103360,2,1,40.61440178849764,-73.89775832721467,-30.092596,60124619.7786631,"[-4.07 -3.7  -3.4  -3.18 -2.99 -2.8  -2.65 -2.5  -2.39 -2.28 -2.17 -2.05
 -1.98 -1.87 -1.79 -1.72 -1.64 -1.57 -1.49 -1.45 -1.38 -1.3  -1.27 -1.19
 -1.15 -1.08 -1.04 -0.97 -0.93 -0.89 -0.82 -0.78 -0.74 -0.67 -0.63 -0.59
 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11 -0.07
 -0.03  0.    0.07  0.11  0.14  0.18  0.22  0.26  0.33  0.37  0.41  0.44
  0.48  0.56  0.59  0.63  0.67  0.74  0.78  0.82  0.89  0.93  0.97  1.04
  1.08  1.15  1.19  1.27  1.34  1.38  1.45  1.53  1.6   1.68  1.75  1.83
  1.9   1.98  2.09  2.17  2.28  2.39  2.5   2.61  2.76  2.91  3.1   3.29
  3.55  3.81  4.19  4.67  5.42]",0,90.0,54330200200271094
103380,2,1,40.62060204461626,-73.8869964063969,-33.042164,60124619.9439431,"[-2.09 -2.02 -1.94 -1.87 -1.79 -1.72 -1.64 -1.57 -1.53 -1.45 -1.42 -1.34
 -1.3  -1.27 -1.19 -1.15 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82
 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37
 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.07 -0.03  0.    0.03
  0.07  0.11  0.14  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48
  0.52  0.56  0.59  0.63  0.67  0.71  0.74  0.78  0.82  0.86  0.89  0.93
  0.97  1.01  1.08  1.12  1.15  1.19  1.23  1.3   1.34  1.42  1.45  1.49
  1.57  1.6   1.68  1.75  1.83  1.87  1.94  2.02  2.09  2.2   2.28  2.39
  2.46  2.61  2.73  2.88  3.06]",100,0.0,54330200200271114
103390,2,1,40.62369901981604,-73.88161070208034,-32.755592,60124620.0265831,"[-2.17 -2.09 -2.02 -1.94 -1.9  -1.83 -1.75 -1.72 -1.64 -1.6  -1.53 -1.49
 -1.42 -1.38 -1.34 -1.3  -1.23 -1.19 -1.15 -1.12 -1.08 -1.04 -1.01 -0.97
 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52
 -0.48 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.26 -0.22 -0.18 -0.14
 -0.11 -0.07 -0.07 -0.03  0.    0.03  0.07  0.11  0.11  0.14  0.18  0.22
  0.26  0.29  0.33  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.67  0.71  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.04  1.08
  1.15  1.19  1.23  1.27  1.34  1.38  1.45  1.53  1.57  1.64  1.72  1.79
  1.87  1.98  2.09  2.2   2.39]",100,0.0,54330200200271124
103400,2,1,40.62679590592099,-73.87622544107717,-32.537357,60124620.1092271,"[-2.28 -2.2  -2.13 -2.05 -1.98 -1.9  -1.83 -1.75 -1.68 -1.64 -1.57 -1.53
 -1.45 -1.42 -1.38 -1.3  -1.27 -1.23 -1.19 -1.12 -1.08 -1.04 -1.01 -0.97
 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52
 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.14 -0.11
 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.22  0.26  0.29
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74
  0.78  0.82  0.86  0.89  0.97  1.01  1.04  1.08  1.12  1.19  1.23  1.27
  1.34  1.38  1.45  1.49  1.57  1.6   1.68  1.75  1.83  1.9   1.98  2.09
  2.2   2.31  2.43  2.58  2.76]",100,0.0,54330200200271134
103410,2,1,40.62989292032411,-73.87084076821603,-33.261173,60124620.1918871,"[-2.09 -2.02 -1.94 -1.9  -1.83 -1.75 -1.68 -1.64 -1.57 -1.53 -1.49 -1.42
 -1.38 -1.34 -1.27 -1.23 -1.19 -1.15 -1.12 -1.08 -1.04 -1.01 -0.97 -0.89
 -0.86 -0.82 -0.78 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48
 -0.44 -0.41 -0.37 -0.33 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.11
 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.14  0.18  0.22  0.26  0.29
  0.33  0.37  0.41  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71
  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.08  1.12  1.15  1.19
  1.23  1.3   1.34  1.38  1.45  1.49  1.57  1.64  1.68  1.75  1.83  1.9
  2.02  2.09  2.2   2.31  2.5 ]",100,0.0,54330200200271144
103420,2,1,40.63298792267343,-73.86545845490815,-32.97924,60124620.2745471,"[-1.87 -1.83 -1.79 -1.72 -1.68 -1.6  -1.57 -1.53 -1.49 -1.42 -1.38 -1.34
 -1.3  -1.27 -1.23 -1.19 -1.15 -1.08 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86
 -0.82 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44
 -0.41 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.18 -0.14 -0.11 -0.07
 -0.03  0.    0.03  0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.26  0.29
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.59  0.63  0.67  0.71
  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.08  1.12  1.15  1.19
  1.23  1.27  1.34  1.38  1.42  1.49  1.53  1.6   1.64  1.72  1.79  1.87
  1.94  2.02  2.09  2.2   2.31]",100,0.0,54330200200271154
103440,2,1,40.63917456497174,-73.85469360696086,-33.297024,60124620.4398387,"[-1.83 -1.79 -1.75 -1.68 -1.64 -1.57 -1.53 -1.49 -1.45 -1.38 -1.34 -1.3
 -1.27 -1.23 -1.19 -1.15 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.86
 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.44
 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03
 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.18  0.22  0.26  0.29  0.33
  0.37  0.41  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74
  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.04  1.08  1.12  1.15  1.19
  1.27  1.3   1.34  1.38  1.45  1.49  1.57  1.6   1.68  1.75  1.79  1.87
  1.94  2.05  2.13  2.24  2.35]",100,0.0,54330200200271174
103460,2,1,40.64535632604008,-73.84391977780581,-29.187971,60124620.6051187,"[-4.   -3.62 -3.33 -3.1  -2.88 -2.73 -2.58 -2.43 -2.31 -2.2  -2.13 -2.02
 -1.94 -1.87 -1.79 -1.72 -1.64 -1.57 -1.49 -1.42 -1.38 -1.3  -1.27 -1.19
 -1.15 -1.08 -1.04 -0.97 -0.93 -0.89 -0.82 -0.78 -0.74 -0.71 -0.63 -0.59
 -0.56 -0.52 -0.48 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.14 -0.11 -0.07
 -0.03  0.    0.03  0.11  0.14  0.18  0.22  0.26  0.29  0.37  0.41  0.44
  0.48  0.52  0.59  0.63  0.67  0.74  0.78  0.82  0.86  0.93  0.97  1.04
  1.08  1.15  1.19  1.27  1.3   1.38  1.45  1.49  1.57  1.64  1.72  1.79
  1.87  1.94  2.05  2.13  2.24  2.35  2.46  2.58  2.73  2.88  3.06  3.25
  3.51  3.81  4.22  4.75  5.57]",0,41.0,54330200200271194
103470,2,1,40.64844601918895,-73.83853167701355,-28.426682,60124620.6877587,"[-3.59 -3.25 -2.99 -2.76 -2.61 -2.46 -2.31 -2.2  -2.09 -1.98 -1.9  -1.83
 -1.72 -1.64 -1.6  -1.53 -1.45 -1.38 -1.34 -1.27 -1.23 -1.15 -1.12 -1.04
 -1.01 -0.97 -0.89 -0.86 -0.82 -0.78 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52
 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03
  0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44
  0.52  0.56  0.59  0.63  0.67  0.74  0.78  0.82  0.86  0.93  0.97  1.01
  1.08  1.12  1.19  1.23  1.3   1.34  1.42  1.49  1.57  1.64  1.72  1.79
  1.87  1.98  2.09  2.2   2.31  2.46  2.65  2.84  3.06  3.33  3.66  4.04
  4.52  5.12  5.91  6.73  7.59]",0,28.0,54330200200271204
103790,2,1,40.7476382871043,-73.66527272872412,1.9735433,60124623.3406694,"[-3.66 -3.4  -3.14 -2.95 -2.76 -2.61 -2.5  -2.39 -2.28 -2.17 -2.05 -1.98
 -1.9  -1.79 -1.72 -1.64 -1.6  -1.53 -1.45 -1.42 -1.34 -1.27 -1.23 -1.15
 -1.12 -1.08 -1.01 -0.97 -0.93 -0.86 -0.82 -0.78 -0.74 -0.71 -0.63 -0.59
 -0.56 -0.52 -0.48 -0.44 -0.41 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11
 -0.07 -0.03  0.    0.03  0.07  0.14  0.18  0.22  0.26  0.29  0.33  0.37
  0.41  0.44  0.52  0.56  0.59  0.63  0.67  0.74  0.78  0.82  0.86  0.93
  0.97  1.04  1.08  1.12  1.19  1.23  1.3   1.38  1.42  1.49  1.57  1.64
  1.72  1.79  1.9   1.98  2.09  2.2   2.31  2.43  2.58  2.73  2.91  3.14
  3.4   3.7   4.11  4.63  5.27]",0,12.0,54330200200271524
