,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Deciduous Forest,Forest,2,1,41.22684037091109,-74.39547914686736,188.21503,75594822.76958175,"[-2.2  -1.64 -1.23 -0.86 -0.52 -0.22  0.07  0.37  0.71  1.04  1.45  1.87
  2.28  2.76  3.29  3.89  4.56  5.53  7.63  9.58 10.51 11.19 11.82 12.38
 12.87 13.36 13.84 14.29 14.74 15.12 15.42 15.68 15.94 16.2  16.43 16.69
 16.91 17.17 17.4  17.66 17.96 18.22 18.48 18.71 18.93 19.16 19.38 19.61
 19.79 20.02 20.21 20.39 20.54 20.73 20.92 21.1  21.25 21.44 21.67 21.85
 22.08 22.3  22.53 22.79 23.01 23.28 23.5  23.76 23.99 24.21 24.47 24.7
 24.92 25.15 25.33 25.52 25.75 25.93 26.12 26.31 26.49 26.68 26.87 27.09
 27.28 27.47 27.69 27.88 28.07 28.25 28.44 28.66 28.85 29.04 29.23 29.45
 29.68 29.9  30.2  30.57 31.25]",0,100.0,7,0,3,82090200200273601
1,Pasture/Hay,Planted/Cultivated,2,1,41.22988668861554,-74.38999304867069,181.99081,75594822.85224175,"[-3.66 -3.4  -3.18 -2.99 -2.8  -2.65 -2.54 -2.43 -2.32 -2.2  -2.13 -2.05
 -1.94 -1.87 -1.79 -1.72 -1.64 -1.6  -1.53 -1.45 -1.42 -1.34 -1.3  -1.23
 -1.19 -1.12 -1.08 -1.01 -0.97 -0.93 -0.86 -0.82 -0.78 -0.74 -0.67 -0.63
 -0.59 -0.56 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11
 -0.07 -0.03  0.    0.07  0.11  0.14  0.18  0.22  0.26  0.33  0.37  0.41
  0.44  0.48  0.56  0.59  0.63  0.67  0.74  0.78  0.82  0.89  0.93  0.97
  1.04  1.08  1.16  1.19  1.27  1.3   1.38  1.45  1.49  1.57  1.64  1.72
  1.79  1.87  1.94  2.05  2.13  2.24  2.35  2.47  2.58  2.73  2.88  3.06
  3.29  3.55  3.85  4.26  4.86]",0,0.0,7,37,3,82090200200273611
2,Pasture/Hay,Planted/Cultivated,2,1,41.23293757272822,-74.38450229783875,159.3341,75594822.9348903,"[-5.72 -4.97 -4.49 -4.07 -3.74 -3.4  -3.1  -2.88 -2.65 -2.47 -2.32 -2.17
 -2.05 -1.94 -1.83 -1.75 -1.64 -1.57 -1.49 -1.42 -1.34 -1.27 -1.19 -1.12
 -1.04 -1.01 -0.93 -0.86 -0.82 -0.74 -0.71 -0.63 -0.59 -0.56 -0.48 -0.44
 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.07 -0.03  0.03  0.07  0.11  0.18
  0.22  0.26  0.33  0.37  0.44  0.48  0.52  0.59  0.63  0.71  0.74  0.78
  0.86  0.89  0.97  1.01  1.08  1.12  1.19  1.23  1.3   1.34  1.42  1.45
  1.53  1.57  1.64  1.68  1.75  1.83  1.87  1.94  2.02  2.09  2.13  2.2
  2.28  2.35  2.47  2.54  2.65  2.73  2.84  2.95  3.1   3.25  3.44  3.63
  3.85  4.15  4.49  4.9   5.65]",0,35.0,7,0,3,82090200200273621
3,Developed Low Intensity,Developed,2,1,41.23902650809416,-74.37352756758962,137.77168,75594823.1001703,"[-3.89 -3.29 -2.91 -2.61 -2.43 -2.24 -2.09 -1.94 -1.83 -1.75 -1.64 -1.57
 -1.49 -1.42 -1.34 -1.27 -1.23 -1.16 -1.12 -1.04 -1.01 -0.97 -0.89 -0.86
 -0.82 -0.78 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37
 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07
  0.11  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56
  0.59  0.63  0.71  0.74  0.78  0.82  0.86  0.93  0.97  1.04  1.08  1.12
  1.19  1.23  1.3   1.38  1.42  1.49  1.57  1.64  1.72  1.79  1.87  1.94
  2.05  2.13  2.24  2.32  2.43  2.54  2.65  2.8   2.91  3.06  3.25  3.44
  3.63  3.89  4.22  4.6   5.2 ]",0,86.0,7,39,3,82090200200273641
4,Pasture/Hay,Planted/Cultivated,2,1,41.24206794444319,-74.36804003968288,131.26959,75594823.1828103,"[-3.48 -3.21 -2.95 -2.76 -2.61 -2.47 -2.35 -2.24 -2.13 -2.05 -1.94 -1.87
 -1.79 -1.72 -1.64 -1.6  -1.53 -1.45 -1.42 -1.34 -1.3  -1.23 -1.19 -1.16
 -1.08 -1.04 -1.01 -0.97 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63
 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14
 -0.11 -0.07 -0.03  0.    0.03  0.03  0.07  0.11  0.14  0.18  0.22  0.26
  0.29  0.33  0.37  0.41  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74
  0.78  0.82  0.89  0.93  0.97  1.01  1.08  1.12  1.16  1.23  1.27  1.34
  1.38  1.45  1.53  1.57  1.64  1.72  1.79  1.9   1.98  2.09  2.2   2.32
  2.47  2.61  2.84  3.14  3.63]",0,0.0,7,0,3,82090200200273651
5,Pasture/Hay,Planted/Cultivated,2,1,41.24510157219108,-74.36256000457844,145.98018,75594823.2654503,"[-4.   -3.7  -3.44 -3.21 -3.03 -2.84 -2.73 -2.58 -2.47 -2.35 -2.24 -2.17
 -2.05 -1.98 -1.9  -1.83 -1.75 -1.68 -1.6  -1.53 -1.49 -1.42 -1.34 -1.3
 -1.23 -1.19 -1.12 -1.08 -1.04 -0.97 -0.93 -0.86 -0.82 -0.78 -0.71 -0.67
 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41 -0.37 -0.29 -0.26 -0.22 -0.18 -0.14
 -0.07 -0.03  0.    0.03  0.07  0.11  0.18  0.22  0.26  0.29  0.33  0.41
  0.44  0.48  0.52  0.59  0.63  0.67  0.71  0.78  0.82  0.89  0.93  0.97
  1.04  1.08  1.16  1.19  1.27  1.34  1.38  1.45  1.53  1.6   1.64  1.72
  1.83  1.9   1.98  2.05  2.17  2.28  2.39  2.5   2.61  2.76  2.91  3.1
  3.33  3.55  3.89  4.3   4.94]",0,0.0,7,0,3,82090200200273661
6,Woody Wetlands,Wetlands,2,1,41.24814476712073,-74.35706963033081,131.39546,75594823.3480903,"[-4.22 -3.85 -3.55 -3.29 -3.1  -2.91 -2.73 -2.58 -2.47 -2.32 -2.2  -2.09
 -1.98 -1.9  -1.79 -1.72 -1.64 -1.53 -1.45 -1.38 -1.3  -1.23 -1.19 -1.12
 -1.04 -0.97 -0.93 -0.86 -0.78 -0.74 -0.67 -0.63 -0.56 -0.52 -0.44 -0.41
 -0.33 -0.29 -0.22 -0.18 -0.11 -0.07  0.    0.03  0.11  0.14  0.18  0.26
  0.29  0.37  0.41  0.48  0.52  0.59  0.67  0.71  0.78  0.82  0.89  0.97
  1.04  1.08  1.16  1.23  1.3   1.38  1.45  1.53  1.6   1.72  1.79  1.9
  2.02  2.09  2.24  2.35  2.5   2.65  2.8   2.99  3.25  3.51  3.85  4.26
  4.75  5.31  5.91  6.58  7.33  8.19  9.16 10.18 11.22 12.23 13.02 13.66
 14.22 14.74 15.3  15.94 16.73]",0,61.0,7,0,3,82090200200273671
7,Deciduous Forest,Forest,2,1,41.25451996287215,-74.34555268427913,131.66484,75594823.5216343,"[-3.33 -2.91 -2.58 -2.32 -2.09 -1.9  -1.72 -1.57 -1.42 -1.3  -1.16 -1.04
 -0.93 -0.82 -0.71 -0.59 -0.48 -0.41 -0.29 -0.18 -0.11  0.    0.07  0.18
  0.29  0.37  0.48  0.59  0.71  0.82  0.93  1.04  1.16  1.27  1.42  1.57
  1.72  1.9   2.09  2.32  2.58  2.91  3.33  3.81  4.52  5.42  6.32  7.26
  8.23  9.13 10.14 11.11 11.97 12.8  13.54 14.14 14.7  15.27 15.83 16.39
 16.91 17.36 17.77 18.11 18.45 18.75 19.05 19.35 19.64 19.94 20.21 20.47
 20.73 20.99 21.22 21.44 21.67 21.89 22.08 22.3  22.49 22.71 22.9  23.13
 23.31 23.54 23.72 23.95 24.14 24.36 24.59 24.81 25.   25.26 25.48 25.75
 26.01 26.34 26.72 27.21 27.95]",0,100.0,7,0,3,82090200200273691
8,Pasture/Hay,Planted/Cultivated,2,1,41.26059347585857,-74.33456758009079,130.20967,75594823.6869213,"[-4.11 -3.74 -3.48 -3.25 -3.06 -2.88 -2.73 -2.61 -2.47 -2.35 -2.28 -2.17
 -2.09 -1.98 -1.9  -1.83 -1.75 -1.68 -1.64 -1.57 -1.49 -1.45 -1.38 -1.34
 -1.27 -1.23 -1.16 -1.12 -1.08 -1.04 -0.97 -0.93 -0.89 -0.86 -0.82 -0.74
 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.59  0.63
  0.67  0.71  0.74  0.78  0.82  0.89  0.93  0.97  1.04  1.08  1.12  1.19
  1.23  1.3   1.38  1.42  1.49  1.57  1.64  1.72  1.83  1.9   2.02  2.13
  2.28  2.47  2.65  2.95  3.55]",0,0.0,7,0,3,82090200200273711
9,Deciduous Forest,Forest,2,1,41.26363059101335,-74.32906759159413,132.35551,75594823.7695813,"[-3.85 -3.25 -2.8  -2.43 -2.13 -1.9  -1.68 -1.49 -1.34 -1.23 -1.08 -0.97
 -0.86 -0.74 -0.63 -0.56 -0.44 -0.37 -0.26 -0.18 -0.07  0.    0.07  0.18
  0.26  0.37  0.44  0.56  0.63  0.74  0.86  0.97  1.08  1.19  1.3   1.42
  1.57  1.68  1.83  1.98  2.09  2.24  2.39  2.58  2.73  2.91  3.1   3.29
  3.51  3.78  4.04  4.34  4.64  4.97  5.31  5.72  6.25  6.92  8.15  9.05
  9.73 10.59 11.45 12.01 12.5  13.02 13.58 14.11 14.63 15.34 16.39 17.21
 17.74 18.15 18.52 18.93 19.38 19.79 20.21 20.62 20.95 21.25 21.52 21.78
 22.04 22.26 22.49 22.71 22.94 23.13 23.35 23.54 23.72 23.91 24.14 24.32
 24.59 24.85 25.18 25.67 26.31]",0,100.0,7,0,3,82090200200273721
