,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
108300,2,1,41.877392201002884,-75.1563646270767,481.02945,132374793.7102421,"[-3.4  -3.18 -2.95 -2.77 -2.58 -2.43 -2.32 -2.17 -2.06 -1.94 -1.83 -1.76
 -1.64 -1.57 -1.46 -1.38 -1.31 -1.23 -1.16 -1.08 -1.01 -0.93 -0.86 -0.78
 -0.74 -0.67 -0.59 -0.52 -0.48 -0.41 -0.33 -0.26 -0.22 -0.14 -0.07 -0.03
  0.03  0.11  0.14  0.22  0.29  0.33  0.41  0.48  0.52  0.59  0.67  0.74
  0.82  0.86  0.93  1.01  1.08  1.16  1.23  1.31  1.38  1.49  1.57  1.64
  1.76  1.83  1.94  2.02  2.13  2.24  2.36  2.47  2.58  2.73  2.84  2.99
  3.1   3.25  3.4   3.55  3.7   3.89  4.04  4.23  4.38  4.57  4.79  5.01
  5.24  5.5   5.84  6.29  6.93  8.65 10.45 11.42 12.28 13.26 14.31 15.5
 16.67 17.45 18.05 18.54 19.1 ]",0,100.0,7,0,3,183960200200275950
108340,2,1,41.88926853207642,-75.13397537102155,520.07825,132374794.0408021,"[-5.05 -4.53 -4.19 -3.93 -3.7  -3.52 -3.33 -3.14 -2.95 -2.8  -2.65 -2.5
 -2.39 -2.24 -2.13 -2.02 -1.91 -1.79 -1.72 -1.61 -1.53 -1.46 -1.38 -1.31
 -1.23 -1.16 -1.08 -1.01 -0.97 -0.89 -0.86 -0.78 -0.74 -0.71 -0.63 -0.59
 -0.56 -0.48 -0.44 -0.41 -0.37 -0.33 -0.26 -0.22 -0.18 -0.14 -0.11 -0.03
  0.    0.03  0.07  0.11  0.14  0.22  0.26  0.29  0.33  0.37  0.44  0.48
  0.52  0.56  0.63  0.67  0.71  0.74  0.82  0.86  0.89  0.97  1.01  1.04
  1.12  1.16  1.23  1.27  1.31  1.38  1.46  1.49  1.57  1.61  1.68  1.76
  1.79  1.87  1.94  2.02  2.09  2.17  2.28  2.36  2.47  2.58  2.73  2.88
  3.03  3.25  3.52  3.89  4.57]",0,0.0,7,0,3,183960200200275990
108360,2,1,41.89520649185092,-75.12277305309665,485.45334,132374794.2060821,"[-4.34 -4.   -3.7  -3.44 -3.25 -3.07 -2.88 -2.77 -2.62 -2.5  -2.39 -2.28
 -2.21 -2.13 -2.02 -1.94 -1.87 -1.79 -1.72 -1.68 -1.61 -1.53 -1.49 -1.42
 -1.38 -1.31 -1.27 -1.19 -1.16 -1.08 -1.04 -1.01 -0.93 -0.89 -0.86 -0.82
 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.18  0.22
  0.26  0.29  0.33  0.37  0.41  0.48  0.52  0.56  0.59  0.63  0.71  0.74
  0.78  0.82  0.89  0.93  0.97  1.04  1.08  1.12  1.19  1.23  1.31  1.38
  1.42  1.49  1.57  1.64  1.72  1.79  1.87  1.94  2.06  2.17  2.28  2.39
  2.54  2.73  2.95  3.25  3.82]",0,76.0,7,0,3,183960200200276010
108500,2,1,41.937017403022814,-75.043763945582,474.82562,132374795.37136164,"[-4.08 -3.55 -3.1  -2.69 -2.36 -2.02 -1.68 -1.38 -1.08 -0.82 -0.59 -0.37
 -0.14  0.07  0.29  0.52  0.71  0.93  1.16  1.38  1.61  1.83  2.02  2.24
  2.43  2.65  2.84  3.07  3.25  3.48  3.67  3.89  4.08  4.3   4.49  4.72
  4.94  5.16  5.39  5.65  5.88  6.06  6.29  6.48  6.63  6.81  6.96  7.15
  7.3   7.45  7.6   7.75  7.9   8.05  8.2   8.31  8.46  8.57  8.69  8.8
  8.91  9.02  9.14  9.25  9.36  9.47  9.59  9.66  9.77  9.88  9.96 10.07
 10.18 10.26 10.37 10.45 10.56 10.67 10.75 10.86 10.97 11.05 11.16 11.27
 11.38 11.46 11.57 11.68 11.8  11.91 12.06 12.17 12.32 12.43 12.58 12.77
 12.96 13.22 13.56 14.01 14.57]",0,100.0,7,0,3,183960200200276150
108510,2,1,41.9399836503302,-75.03815649473783,467.4708,132374795.45400365,"[-4.3  -4.   -3.74 -3.48 -3.25 -3.03 -2.84 -2.65 -2.5  -2.36 -2.21 -2.06
 -1.91 -1.79 -1.64 -1.53 -1.42 -1.31 -1.19 -1.08 -0.97 -0.89 -0.78 -0.67
 -0.59 -0.48 -0.37 -0.29 -0.18 -0.11  0.    0.11  0.18  0.29  0.37  0.48
  0.59  0.67  0.78  0.89  1.01  1.12  1.19  1.34  1.46  1.57  1.68  1.83
  1.94  2.09  2.21  2.36  2.5   2.65  2.8   2.92  3.07  3.22  3.37  3.52
  3.63  3.78  3.93  4.04  4.19  4.34  4.49  4.64  4.83  4.98  5.16  5.35
  5.58  5.8   6.1   6.44  6.81  7.26  7.79  8.35  8.95  9.59 10.22 10.86
 11.46 12.1  12.77 13.44 14.23 14.98 15.69 16.48 17.34 18.2  18.91 19.55
 20.26 20.97 21.61 22.21 22.88]",0,100.0,7,0,3,183960200200276160
108520,2,1,41.94294872538587,-75.03254444056452,524.8146,132374795.53666365,"[-5.43 -5.13 -4.87 -4.64 -4.42 -4.23 -4.04 -3.89 -3.74 -3.55 -3.4  -3.29
 -3.14 -3.03 -2.88 -2.77 -2.65 -2.54 -2.47 -2.36 -2.24 -2.17 -2.06 -1.98
 -1.91 -1.79 -1.72 -1.64 -1.57 -1.49 -1.42 -1.34 -1.27 -1.19 -1.12 -1.04
 -0.97 -0.89 -0.82 -0.74 -0.71 -0.63 -0.56 -0.48 -0.41 -0.37 -0.29 -0.22
 -0.14 -0.07 -0.03  0.03  0.11  0.18  0.22  0.29  0.37  0.44  0.52  0.56
  0.63  0.71  0.78  0.86  0.93  1.01  1.08  1.16  1.23  1.31  1.38  1.49
  1.57  1.68  1.79  1.87  1.98  2.13  2.24  2.39  2.58  2.77  3.03  3.33
  3.7   4.34  5.61  9.51 11.53 12.66 13.48 14.42 15.69 17.   18.01 18.95
 19.81 20.75 21.65 22.4  23.11]",0,100.0,7,0,3,183960200200276170
108630,2,1,41.97579689711419,-74.97019703311244,530.2729,132374796.45400324,"[-3.22 -2.77 -2.28 -1.79 -1.31 -0.89 -0.56 -0.26  0.03  0.33  0.63  0.97
  1.27  1.53  1.79  2.02  2.24  2.47  2.69  2.92  3.1   3.33  3.52  3.7
  3.89  4.08  4.27  4.45  4.64  4.83  5.01  5.2   5.39  5.58  5.76  5.91
  6.1   6.25  6.36  6.51  6.66  6.78  6.93  7.04  7.19  7.3   7.45  7.6
  7.75  7.9   8.05  8.2   8.35  8.54  8.69  8.87  9.02  9.21  9.36  9.51
  9.66  9.81  9.96 10.11 10.26 10.41 10.6  10.78 11.01 11.23 11.53 11.8
 12.1  12.36 12.62 12.84 13.11 13.33 13.63 13.97 14.42 14.87 15.24 15.65
 16.1  16.7  17.49 18.54 19.44 20.11 20.67 21.2  21.69 22.4  23.18 23.71
 24.27 25.02 25.73 26.22 26.71]",0,90.0,7,0,3,183960200200276280
108640,2,1,41.97875509868071,-74.96458648587624,526.7627,132374796.53666325,"[-4.87 -4.45 -4.19 -3.97 -3.78 -3.63 -3.48 -3.37 -3.22 -3.1  -2.99 -2.88
 -2.77 -2.65 -2.58 -2.47 -2.39 -2.28 -2.21 -2.13 -2.02 -1.94 -1.87 -1.79
 -1.68 -1.61 -1.53 -1.46 -1.38 -1.31 -1.23 -1.16 -1.08 -1.01 -0.93 -0.86
 -0.78 -0.74 -0.67 -0.59 -0.56 -0.48 -0.41 -0.37 -0.29 -0.22 -0.18 -0.11
 -0.07  0.    0.03  0.11  0.18  0.22  0.29  0.33  0.41  0.48  0.52  0.59
  0.67  0.71  0.78  0.86  0.89  0.97  1.04  1.12  1.16  1.23  1.31  1.38
  1.46  1.49  1.57  1.64  1.72  1.79  1.87  1.94  2.06  2.13  2.21  2.32
  2.43  2.5   2.65  2.77  2.88  3.03  3.18  3.37  3.55  3.78  4.04  4.27
  4.53  4.79  5.05  5.39  5.76]",0,100.0,7,0,3,183960200200276290
108720,2,1,42.002731720051266,-74.9190935410169,735.5904,132374797.20608085,"[-6.06 -5.58 -5.13 -4.72 -4.3  -3.97 -3.67 -3.44 -3.22 -3.03 -2.84 -2.69
 -2.54 -2.39 -2.24 -2.09 -1.94 -1.83 -1.68 -1.57 -1.46 -1.34 -1.23 -1.12
 -1.04 -0.93 -0.86 -0.78 -0.71 -0.59 -0.52 -0.44 -0.37 -0.29 -0.22 -0.14
 -0.07  0.    0.07  0.11  0.18  0.26  0.33  0.41  0.48  0.56  0.63  0.71
  0.78  0.89  0.97  1.04  1.12  1.19  1.27  1.34  1.42  1.53  1.61  1.72
  1.79  1.91  2.02  2.09  2.21  2.36  2.47  2.62  2.73  2.88  3.07  3.22
  3.4   3.59  3.74  3.93  4.12  4.3   4.49  4.68  4.83  5.01  5.16  5.35
  5.5   5.69  5.84  6.03  6.21  6.4   6.59  6.81  7.08  7.3   7.56  7.82
  8.09  8.39  8.72  9.14  9.7 ]",0,14.0,7,0,3,183960200200276370
108790,2,1,42.023484739334705,-74.87980757763215,543.2204,132374797.78461646,"[-5.09 -4.79 -4.53 -4.27 -4.04 -3.82 -3.59 -3.4  -3.25 -3.07 -2.92 -2.77
 -2.65 -2.5  -2.39 -2.24 -2.13 -2.02 -1.91 -1.79 -1.68 -1.61 -1.49 -1.38
 -1.27 -1.19 -1.08 -0.97 -0.89 -0.78 -0.71 -0.59 -0.52 -0.41 -0.33 -0.22
 -0.14 -0.07  0.03  0.11  0.22  0.29  0.41  0.48  0.59  0.67  0.78  0.86
  0.97  1.04  1.16  1.27  1.34  1.46  1.57  1.68  1.79  1.87  1.98  2.09
  2.21  2.32  2.47  2.58  2.69  2.8   2.95  3.07  3.22  3.37  3.52  3.67
  3.82  4.    4.19  4.42  4.64  4.9   5.2   5.54  5.95  6.55  7.3   8.24
  9.32 10.3  11.16 11.98 12.88 13.78 14.64 15.32 15.88 16.37 16.89 17.38
 17.86 18.31 18.76 19.25 19.85]",0,47.0,7,0,3,183960200200276440
