,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
117590,2,1,44.571372595130164,-73.61823924962745,275.73492,91406169.45411175,"[-2.84 -2.65 -2.47 -2.28 -2.09 -1.87 -1.64 -1.42 -1.23 -1.04 -0.89 -0.78
 -0.67 -0.56 -0.44 -0.37 -0.26 -0.18 -0.07  0.    0.11  0.18  0.29  0.37
  0.48  0.59  0.71  0.86  0.97  1.12  1.31  1.46  1.61  1.76  1.91  2.06
  2.2   2.32  2.47  2.62  2.77  2.92  3.07  3.25  3.4   3.59  3.74  3.89
  4.04  4.19  4.34  4.53  4.68  4.86  5.09  5.28  5.46  5.65  5.8   5.99
  6.14  6.33  6.51  6.7   6.89  7.11  7.3   7.49  7.64  7.82  7.97  8.09
  8.24  8.39  8.5   8.65  8.76  8.91  9.06  9.17  9.32  9.47  9.62  9.73
  9.92 10.07 10.22 10.41 10.6  10.74 10.93 11.12 11.31 11.46 11.64 11.83
 12.02 12.21 12.39 12.62 12.88]",0,62.0,7,0,3,110460200200285349
117600,2,1,44.574031594480445,-73.61206726774842,219.10435,91406169.53676476,"[-1.76 -1.04 -0.59 -0.22  0.14  0.52  0.82  1.12  1.34  1.53  1.68  1.79
  1.91  2.02  2.13  2.2   2.28  2.35  2.43  2.5   2.58  2.62  2.69  2.73
  2.8   2.84  2.92  2.95  2.99  3.07  3.1   3.14  3.18  3.22  3.29  3.33
  3.37  3.4   3.44  3.48  3.52  3.55  3.63  3.67  3.7   3.74  3.78  3.82
  3.85  3.89  3.93  4.    4.04  4.08  4.12  4.15  4.19  4.26  4.3   4.34
  4.38  4.45  4.49  4.56  4.6   4.68  4.71  4.79  4.86  4.94  5.01  5.09
  5.16  5.28  5.39  5.5   5.61  5.76  5.95  6.14  6.36  6.62  6.92  7.22
  7.56  7.97  8.61  9.51 10.33 11.01 11.57 12.21 12.88 13.52 14.15 14.75
 15.31 15.99 17.22 18.05 18.84]",0,99.0,7,0,3,110460200200285359
117850,2,1,44.64035173761694,-73.45746669107609,19.037418,91406171.61115785,"[-3.37 -3.18 -2.99 -2.84 -2.69 -2.58 -2.47 -2.36 -2.28 -2.17 -2.09 -2.02
 -1.94 -1.87 -1.79 -1.72 -1.64 -1.61 -1.53 -1.46 -1.42 -1.38 -1.31 -1.27
 -1.19 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.11  0.14
  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.56  0.59  0.63
  0.67  0.71  0.74  0.78  0.82  0.86  0.93  0.97  1.01  1.04  1.12  1.16
  1.23  1.27  1.34  1.38  1.46  1.53  1.61  1.68  1.76  1.83  1.91  2.02
  2.13  2.28  2.47  2.69  3.03]",0,0.0,7,0,3,110460200200285609
117860,2,1,44.642985510881154,-73.45127412824614,14.084576,91406171.69381785,"[-3.29 -2.92 -2.62 -2.36 -2.17 -1.94 -1.79 -1.61 -1.46 -1.31 -1.19 -1.04
 -0.93 -0.82 -0.71 -0.59 -0.48 -0.37 -0.26 -0.18 -0.07  0.03  0.14  0.22
  0.33  0.44  0.56  0.67  0.78  0.89  1.01  1.16  1.27  1.42  1.53  1.68
  1.83  1.98  2.17  2.32  2.51  2.65  2.84  2.99  3.18  3.33  3.52  3.67
  3.85  4.    4.15  4.34  4.49  4.64  4.83  4.98  5.13  5.31  5.46  5.61
  5.8   5.95  6.1   6.29  6.44  6.59  6.78  6.93  7.11  7.26  7.45  7.6
  7.79  7.97  8.16  8.35  8.54  8.76  8.99  9.21  9.44  9.7   9.96 10.26
 10.6  10.93 11.31 11.72 12.17 12.58 13.07 13.52 14.01 14.53 15.06 15.58
 16.14 16.7  17.38 18.13 18.99]",0,100.0,7,0,3,110460200200285619
114310,3,1,43.67457211190933,-75.60699461590268,540.9028,91406142.19380715,"[-2.84 -2.54 -2.28 -2.06 -1.87 -1.72 -1.57 -1.46 -1.34 -1.23 -1.16 -1.08
 -1.01 -0.93 -0.86 -0.78 -0.71 -0.67 -0.59 -0.52 -0.48 -0.41 -0.37 -0.29
 -0.26 -0.22 -0.14 -0.11 -0.03  0.    0.03  0.11  0.14  0.22  0.26  0.33
  0.37  0.44  0.48  0.56  0.59  0.67  0.71  0.78  0.86  0.93  0.97  1.04
  1.12  1.19  1.27  1.34  1.42  1.49  1.61  1.68  1.79  1.87  1.98  2.06
  2.17  2.28  2.39  2.5   2.65  2.77  2.88  3.03  3.18  3.33  3.48  3.67
  3.85  4.04  4.26  4.53  4.83  5.16  5.5   5.88  6.25  6.66  7.04  7.37
  7.64  7.97  8.31  8.8   9.32  9.85 10.33 10.78 11.12 11.38 11.61 11.83
 12.06 12.28 12.54 12.84 13.22]",0,100.0,7,0,3,110460300200282069
117590,3,1,44.56745356032214,-73.61196116842846,227.99283,91406169.43345176,"[-7.   -6.55 -6.14 -5.76 -5.43 -5.13 -4.83 -4.56 -4.34 -4.12 -3.89 -3.7
 -3.52 -3.33 -3.18 -2.99 -2.84 -2.69 -2.54 -2.43 -2.28 -2.17 -2.02 -1.91
 -1.79 -1.68 -1.57 -1.46 -1.34 -1.23 -1.16 -1.04 -0.93 -0.86 -0.74 -0.63
 -0.56 -0.44 -0.37 -0.26 -0.18 -0.11  0.    0.07  0.18  0.26  0.37  0.44
  0.56  0.63  0.74  0.86  0.93  1.04  1.16  1.27  1.38  1.49  1.61  1.76
  1.87  2.02  2.2   2.35  2.58  2.8   3.07  3.4   3.85  4.53  5.58  7.34
  8.95 10.52 12.09 13.33 14.27 15.09 15.88 16.51 17.07 17.56 17.97 18.35
 18.72 19.06 19.4  19.77 20.15 20.56 21.05 21.49 21.98 22.47 22.96 23.48
 24.04 24.64 25.2  25.84 26.63]",0,91.0,7,0,3,110460300200285349
117800,3,1,44.6232471209261,-73.48194545889045,19.571293,91406171.17726685,"[-4.27 -3.78 -3.44 -3.18 -2.95 -2.77 -2.62 -2.47 -2.36 -2.24 -2.13 -2.06
 -1.94 -1.87 -1.79 -1.72 -1.64 -1.61 -1.53 -1.46 -1.42 -1.34 -1.31 -1.27
 -1.19 -1.16 -1.12 -1.04 -1.01 -0.97 -0.93 -0.89 -0.82 -0.78 -0.74 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.67  0.71  0.74  0.78  0.86  0.89  0.93  0.97  1.04  1.08  1.12  1.19
  1.23  1.31  1.34  1.42  1.49  1.57  1.64  1.72  1.83  1.91  2.02  2.13
  2.28  2.47  2.69  3.07  3.78]",0,4.0,7,0,3,110460300200285559
117550,5,2,44.55582384108947,-73.6208826889205,338.56485,91406169.6070252,"[-5.05 -4.49 -4.08 -3.78 -3.52 -3.29 -3.1  -2.95 -2.8  -2.65 -2.54 -2.43
 -2.32 -2.24 -2.13 -2.06 -1.98 -1.87 -1.79 -1.72 -1.68 -1.61 -1.53 -1.46
 -1.42 -1.34 -1.31 -1.23 -1.19 -1.12 -1.08 -1.01 -0.97 -0.93 -0.86 -0.82
 -0.78 -0.71 -0.67 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41 -0.37 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.03  0.    0.03  0.07  0.11  0.14  0.22  0.26
  0.29  0.33  0.37  0.44  0.48  0.52  0.56  0.63  0.67  0.71  0.74  0.82
  0.86  0.93  0.97  1.01  1.08  1.12  1.19  1.27  1.31  1.38  1.46  1.53
  1.61  1.72  1.79  1.91  1.98  2.13  2.24  2.43  2.62  2.92  3.44  5.5
  8.54 10.6  11.87 13.07 14.38]",0,77.0,7,0,3,110460500200285328
117570,5,2,44.56112322877611,-73.60857739368997,193.15662,91406169.77233075,"[-3.25 -2.95 -2.69 -2.47 -2.24 -2.06 -1.87 -1.68 -1.53 -1.38 -1.23 -1.12
 -1.01 -0.89 -0.78 -0.71 -0.59 -0.52 -0.44 -0.37 -0.26 -0.18 -0.11 -0.03
  0.03  0.11  0.18  0.26  0.37  0.44  0.52  0.59  0.71  0.78  0.89  1.01
  1.12  1.23  1.34  1.49  1.64  1.83  2.06  2.28  2.54  2.84  3.1   3.37
  3.63  3.85  4.12  4.42  4.71  5.05  5.39  5.65  5.88  6.1   6.29  6.48
  6.66  6.85  7.04  7.22  7.45  7.67  7.86  8.05  8.27  8.42  8.61  8.8
  8.95  9.14  9.28  9.47  9.62  9.81 10.   10.18 10.37 10.6  10.78 11.01
 11.23 11.46 11.64 11.87 12.06 12.28 12.47 12.69 12.92 13.18 13.44 13.74
 14.04 14.34 14.64 14.98 15.35]",0,95.0,7,0,3,110460500200285348
117780,5,2,44.61740060564047,-73.47744728224951,17.356876,91406171.53263035,"[-4.87 -4.3  -3.93 -3.59 -3.37 -3.14 -2.95 -2.8  -2.66 -2.51 -2.39 -2.28
 -2.17 -2.09 -1.98 -1.91 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.42 -1.38
 -1.31 -1.27 -1.19 -1.16 -1.12 -1.04 -1.01 -0.97 -0.93 -0.86 -0.82 -0.78
 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59
  0.63  0.71  0.74  0.78  0.82  0.86  0.93  0.97  1.01  1.04  1.12  1.16
  1.23  1.27  1.34  1.42  1.46  1.53  1.61  1.72  1.79  1.91  2.02  2.13
  2.28  2.47  2.69  3.07  3.89]",0,0.0,7,0,3,110460500200285558
