,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Mixed Forest,Forest,5,2,42.12357813016657,-74.09100791799477,657.19275,58765478.07188695,"[-1.87 -1.46 -1.12 -0.86 -0.59 -0.37 -0.14  0.03  0.26  0.48  0.67  0.86
  1.04  1.19  1.34  1.46  1.61  1.72  1.83  1.98  2.09  2.2   2.35  2.47
  2.58  2.73  2.88  2.99  3.14  3.29  3.44  3.59  3.7   3.85  4.    4.15
  4.34  4.49  4.68  4.86  5.05  5.27  5.46  5.69  5.87  6.06  6.25  6.44
  6.59  6.74  6.88  7.    7.15  7.26  7.41  7.52  7.67  7.78  7.93  8.05
  8.23  8.38  8.53  8.72  8.94  9.13  9.36  9.58  9.84 10.11 10.33 10.59
 10.85 11.12 11.38 11.68 12.05 12.46 12.88 13.29 13.66 14.04 14.45 14.86
 15.2  15.53 15.87 16.21 16.55 16.92 17.22 17.52 17.78 18.04 18.34 18.64
 19.02 19.43 19.92 20.29 20.66]",0,100.0,7,0,3,51890500200276834
1,Evergreen Forest,Forest,5,2,42.12653584642158,-74.0853467759677,584.7917,58765478.15452695,"[-1.49 -1.08 -0.74 -0.44 -0.18  0.07  0.37  0.67  1.01  1.42  1.87  2.32
  2.77  3.33  4.08  4.71  5.16  5.57  5.95  6.36  6.74  7.15  7.45  7.71
  7.93  8.12  8.35  8.53  8.76  8.98  9.21  9.43  9.66  9.84 10.03 10.22
 10.37 10.55 10.7  10.89 11.04 11.19 11.38 11.53 11.72 11.87 12.05 12.2
 12.35 12.5  12.65 12.76 12.91 13.03 13.1  13.21 13.29 13.4  13.48 13.59
 13.66 13.74 13.81 13.92 14.   14.07 14.15 14.26 14.34 14.41 14.52 14.6
 14.67 14.79 14.86 14.97 15.09 15.16 15.27 15.39 15.46 15.57 15.68 15.8
 15.91 16.02 16.13 16.25 16.36 16.51 16.62 16.77 16.92 17.11 17.26 17.44
 17.67 17.89 18.16 18.46 18.87]",0,93.0,7,0,3,51890500200276844
2,Mixed Forest,Forest,5,2,42.129510040667256,-74.07961760654236,326.6784,58765478.23716695,"[-1.83 -1.46 -1.12 -0.82 -0.56 -0.29 -0.07  0.18  0.44  0.71  1.01  1.38
  1.75  2.2   2.58  2.92  3.25  3.7   4.19  4.56  4.9   5.2   5.5   5.84
  6.14  6.44  6.77  7.11  7.48  7.86  8.2   8.5   8.79  9.09  9.36  9.66
  9.96 10.25 10.59 10.89 11.19 11.49 11.75 12.01 12.24 12.5  12.73 12.91
 13.14 13.33 13.51 13.7  13.89 14.07 14.26 14.45 14.64 14.82 15.01 15.16
 15.35 15.5  15.68 15.83 15.98 16.13 16.28 16.43 16.58 16.77 16.92 17.11
 17.29 17.52 17.71 17.93 18.16 18.42 18.64 18.9  19.17 19.43 19.69 19.95
 20.22 20.51 20.81 21.19 21.83 22.39 22.8  23.17 23.51 23.81 24.07 24.33
 24.6  24.82 25.08 25.42 25.79]",0,100.0,7,0,3,51890500200276854
3,Deciduous Forest,Forest,5,2,42.13241903859528,-74.0740825611355,629.94214,58765478.31980695,"[-3.96 -3.78 -3.63 -3.44 -3.33 -3.18 -3.03 -2.92 -2.8  -2.69 -2.58 -2.47
 -2.35 -2.24 -2.13 -2.02 -1.9  -1.83 -1.72 -1.61 -1.53 -1.42 -1.34 -1.27
 -1.19 -1.08 -1.01 -0.93 -0.86 -0.78 -0.71 -0.63 -0.52 -0.44 -0.37 -0.29
 -0.22 -0.18 -0.11 -0.03  0.03  0.11  0.18  0.26  0.33  0.41  0.48  0.56
  0.63  0.74  0.82  0.89  0.97  1.04  1.16  1.23  1.31  1.38  1.49  1.57
  1.64  1.75  1.83  1.9   1.98  2.09  2.17  2.24  2.32  2.43  2.5   2.58
  2.65  2.73  2.84  2.92  2.99  3.1   3.18  3.29  3.4   3.48  3.63  3.74
  3.89  4.04  4.19  4.34  4.49  4.64  4.79  4.94  5.05  5.2   5.31  5.46
  5.61  5.72  5.91  6.06  6.29]",0,100.0,7,0,3,51890500200276864
4,Mixed Forest,Forest,6,3,42.119867176252,-74.08478858341628,614.5428,58765478.05122695,"[-3.51 -3.36 -3.18 -3.03 -2.88 -2.69 -2.54 -2.32 -2.13 -1.94 -1.72 -1.57
 -1.38 -1.23 -1.08 -0.97 -0.82 -0.71 -0.59 -0.52 -0.41 -0.29 -0.22 -0.11
 -0.03  0.07  0.14  0.26  0.33  0.44  0.56  0.67  0.78  0.89  1.01  1.16
  1.27  1.42  1.57  1.75  1.9   2.09  2.24  2.43  2.65  2.84  3.03  3.22
  3.4   3.59  3.78  3.96  4.11  4.3   4.49  4.71  4.94  5.24  5.57  5.87
  6.21  6.59  7.03  7.6   8.12  8.49  8.83  9.13  9.43  9.73  9.99 10.25
 10.52 10.78 11.   11.27 11.53 11.75 11.98 12.2  12.46 12.69 12.95 13.14
 13.36 13.51 13.7  13.89 14.04 14.22 14.37 14.56 14.75 14.94 15.12 15.31
 15.5  15.72 15.91 16.1  16.32]",0,92.0,7,0,3,51890600200276359
5,Mixed Forest,Forest,8,4,42.11456988773204,-74.07995431779402,739.8156,58765478.40657895,"[-1.68 -1.49 -1.31 -1.16 -1.01 -0.89 -0.78 -0.67 -0.56 -0.44 -0.37 -0.26
 -0.14 -0.07  0.03  0.11  0.22  0.29  0.41  0.52  0.59  0.71  0.82  0.89
  1.01  1.12  1.19  1.31  1.38  1.46  1.57  1.64  1.72  1.79  1.87  1.94
  2.02  2.09  2.17  2.24  2.32  2.39  2.47  2.54  2.62  2.69  2.73  2.8
  2.88  2.95  3.03  3.1   3.18  3.25  3.33  3.4   3.48  3.55  3.63  3.7
  3.74  3.81  3.89  3.96  4.    4.08  4.15  4.19  4.26  4.34  4.38  4.45
  4.53  4.56  4.64  4.71  4.75  4.83  4.9   4.98  5.05  5.13  5.2   5.28
  5.35  5.46  5.54  5.65  5.72  5.84  5.95  6.06  6.17  6.32  6.44  6.59
  6.74  6.89  7.04  7.22  7.45]",0,100.0,7,0,3,51890800200276132
6,Evergreen Forest,Forest,8,4,42.11751286349348,-74.07428081327,643.36633,58765478.48921895,"[-5.69 -5.46 -5.2  -4.98 -4.71 -4.49 -4.23 -3.96 -3.7  -3.48 -3.22 -2.99
 -2.77 -2.58 -2.39 -2.2  -2.05 -1.9  -1.76 -1.61 -1.49 -1.38 -1.27 -1.16
 -1.04 -0.93 -0.82 -0.71 -0.63 -0.52 -0.41 -0.33 -0.22 -0.14 -0.03  0.03
  0.14  0.22  0.33  0.44  0.52  0.63  0.71  0.82  0.89  0.97  1.08  1.16
  1.23  1.34  1.42  1.49  1.61  1.68  1.76  1.87  1.94  2.02  2.13  2.2
  2.28  2.39  2.47  2.54  2.62  2.73  2.8   2.88  2.95  3.07  3.14  3.22
  3.29  3.4   3.48  3.59  3.67  3.78  3.89  4.    4.15  4.26  4.41  4.56
  4.71  4.86  5.01  5.16  5.35  5.5   5.69  5.87  6.06  6.29  6.51  6.74
  6.96  7.19  7.41  7.63  7.93]",0,99.0,7,0,3,51890800200276142
7,Deciduous Forest,Forest,11,5,42.1166202345824,-74.0627079848555,251.05624,58765478.54293495,"[-2.02 -1.87 -1.72 -1.53 -1.34 -1.16 -0.97 -0.78 -0.59 -0.41 -0.22 -0.03
  0.11  0.29  0.48  0.67  0.86  1.04  1.27  1.49  1.72  1.94  2.17  2.35
  2.54  2.77  2.95  3.14  3.33  3.52  3.66  3.85  4.    4.15  4.26  4.41
  4.56  4.71  4.86  5.01  5.16  5.35  5.54  5.76  5.99  6.21  6.44  6.62
  6.85  7.04  7.26  7.45  7.67  7.86  8.05  8.2   8.35  8.5   8.61  8.72
  8.83  8.91  9.02  9.09  9.17  9.24  9.32  9.39  9.47  9.51  9.58  9.66
  9.73  9.77  9.84  9.92  9.99 10.03 10.11 10.18 10.26 10.29 10.37 10.44
 10.52 10.59 10.67 10.78 10.85 10.97 11.08 11.19 11.3  11.42 11.57 11.68
 11.83 11.98 12.13 12.32 12.5 ]",0,100.0,7,0,3,51891100200276365
8,Deciduous Forest,Forest,11,5,42.119557673714255,-74.05706065274681,260.42456,58765478.62557495,"[-2.09 -1.79 -1.46 -1.16 -0.86 -0.56 -0.33 -0.07  0.14  0.41  0.63  0.89
  1.16  1.42  1.64  1.87  2.05  2.28  2.43  2.62  2.77  2.92  3.07  3.22
  3.37  3.52  3.66  3.78  3.93  4.04  4.19  4.3   4.41  4.53  4.64  4.75
  4.86  4.98  5.05  5.16  5.28  5.35  5.46  5.54  5.65  5.72  5.8   5.91
  5.99  6.1   6.17  6.29  6.36  6.47  6.55  6.66  6.77  6.89  7.    7.15
  7.3   7.45  7.6   7.78  8.01  8.23  8.46  8.72  9.02  9.36  9.73 10.14
 10.59 10.93 11.23 11.49 11.72 11.94 12.2  12.47 12.76 13.14 13.48 13.81
 14.11 14.45 14.79 15.16 15.46 15.72 15.95 16.17 16.36 16.58 16.77 17.
 17.22 17.52 17.82 18.19 18.57]",0,99.0,7,0,3,51891100200276375
