,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Open Water,Water,2,1,41.30171323516364,-73.93054424434136,-32.410427,94996414.3489071,"[-7.38 -4.9  -4.12 -3.63 -3.29 -3.07 -2.84 -2.69 -2.54 -2.39 -2.28 -2.17
 -2.09 -1.98 -1.91 -1.83 -1.76 -1.68 -1.61 -1.53 -1.49 -1.42 -1.38 -1.31
 -1.27 -1.19 -1.16 -1.12 -1.04 -1.01 -0.97 -0.93 -0.89 -0.82 -0.78 -0.74
 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.18  0.22  0.26  0.29  0.29  0.33  0.37  0.44  0.48  0.52  0.56  0.59
  0.63  0.67  0.71  0.74  0.78  0.82  0.89  0.93  0.97  1.01  1.08  1.12
  1.19  1.23  1.31  1.34  1.42  1.49  1.57  1.64  1.72  1.83  1.91  2.06
  2.17  2.36  2.58  2.96  4.68]",95,0.0,7,0,3,116900200300210840
1,Developed Medium Intensity,Developed,2,1,41.28957552043561,-73.9085745107986,80.73393,94996414.6794771,"[-4.23 -3.85 -3.52 -3.22 -2.99 -2.77 -2.58 -2.39 -2.24 -2.13 -1.98 -1.87
 -1.76 -1.64 -1.53 -1.46 -1.34 -1.27 -1.19 -1.12 -1.01 -0.93 -0.86 -0.78
 -0.71 -0.63 -0.59 -0.52 -0.44 -0.37 -0.29 -0.22 -0.14 -0.11 -0.03  0.03
  0.11  0.18  0.22  0.29  0.37  0.44  0.52  0.59  0.67  0.74  0.82  0.89
  0.97  1.04  1.12  1.19  1.27  1.38  1.46  1.53  1.64  1.72  1.83  1.94
  2.06  2.17  2.28  2.39  2.5   2.62  2.73  2.84  2.99  3.1   3.22  3.37
  3.48  3.59  3.7   3.85  3.97  4.08  4.19  4.34  4.45  4.57  4.68  4.83
  4.94  5.05  5.2   5.31  5.46  5.58  5.73  5.88  6.03  6.21  6.36  6.59
  6.78  7.04  7.34  7.75  8.42]",0,0.0,7,86,3,116900200300210880
2,Developed Medium Intensity,Developed,2,1,41.28654108187775,-73.90308114833259,101.78547,94996414.7621371,"[-3.29 -3.03 -2.8  -2.62 -2.47 -2.32 -2.21 -2.09 -1.98 -1.91 -1.83 -1.72
 -1.64 -1.57 -1.49 -1.46 -1.38 -1.31 -1.27 -1.19 -1.12 -1.08 -1.01 -0.97
 -0.93 -0.86 -0.82 -0.78 -0.71 -0.67 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41
 -0.33 -0.29 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.    0.03  0.07  0.14
  0.18  0.22  0.26  0.29  0.37  0.41  0.44  0.48  0.52  0.59  0.63  0.67
  0.74  0.78  0.82  0.89  0.93  1.01  1.04  1.12  1.16  1.23  1.31  1.34
  1.42  1.49  1.57  1.64  1.72  1.83  1.91  2.02  2.13  2.24  2.39  2.58
  2.8   3.1   3.63  5.09  6.59  7.6   8.42  9.21  9.96 10.67 11.35 12.02
 12.62 13.18 13.74 14.3  14.98]",0,45.0,7,45,3,116900200300210890
3,Developed Low Intensity,Developed,2,1,41.28350533802468,-73.89758411452931,74.29239,94996414.8447971,"[-4.98 -4.15 -3.67 -3.29 -2.99 -2.77 -2.54 -2.39 -2.24 -2.13 -2.02 -1.91
 -1.83 -1.72 -1.64 -1.57 -1.49 -1.46 -1.38 -1.31 -1.27 -1.19 -1.16 -1.08
 -1.04 -1.01 -0.97 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.56
 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.26 -0.22 -0.18 -0.14
 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74
  0.82  0.86  0.89  0.93  0.97  1.04  1.08  1.12  1.19  1.23  1.31  1.34
  1.42  1.49  1.57  1.61  1.72  1.79  1.87  1.98  2.09  2.21  2.35  2.54
  2.73  2.99  3.33  3.85  4.98]",0,100.0,7,11,3,116900200300210900
4,Developed Low Intensity,Developed,2,1,41.28046397294048,-73.89209189180495,71.94089,94996414.9274427,"[-1.91 -1.31 -0.93 -0.67 -0.41 -0.18  0.07  0.29  0.52  0.78  1.01  1.27
  1.49  1.76  1.98  2.17  2.35  2.54  2.69  2.84  2.95  3.07  3.18  3.29
  3.4   3.48  3.59  3.67  3.74  3.85  3.93  4.    4.08  4.15  4.19  4.27
  4.34  4.42  4.49  4.53  4.6   4.68  4.71  4.79  4.86  4.9   4.98  5.01
  5.09  5.16  5.2   5.28  5.31  5.39  5.46  5.5   5.58  5.61  5.69  5.76
  5.8   5.88  5.95  5.99  6.06  6.14  6.21  6.29  6.36  6.48  6.55  6.66
  6.78  6.93  7.11  7.34  7.64  8.01  8.39  8.8   9.32 10.26 11.61 12.54
 13.48 14.45 15.35 15.99 16.55 17.08 17.71 18.5  19.21 19.92 20.71 21.5
 22.36 23.44 24.16 24.72 25.39]",0,55.0,7,6,3,116900200300210910
5,Developed Open Space,Developed,2,1,41.27742922753636,-73.88659960065705,63.307938,94996415.0100827,"[-4.53 -3.85 -3.44 -3.14 -2.88 -2.69 -2.47 -2.28 -2.13 -1.98 -1.83 -1.72
 -1.61 -1.49 -1.38 -1.27 -1.19 -1.12 -1.04 -0.97 -0.89 -0.82 -0.74 -0.71
 -0.63 -0.59 -0.52 -0.48 -0.41 -0.37 -0.29 -0.26 -0.18 -0.14 -0.11 -0.03
  0.    0.07  0.11  0.14  0.22  0.26  0.33  0.37  0.41  0.48  0.56  0.59
  0.67  0.71  0.78  0.86  0.93  0.97  1.04  1.12  1.23  1.31  1.38  1.46
  1.57  1.68  1.76  1.87  1.98  2.13  2.24  2.35  2.5   2.65  2.8   2.95
  3.1   3.29  3.44  3.63  3.85  4.08  4.34  4.71  5.2   5.8   6.51  7.52
 10.45 11.65 12.62 13.82 15.2  16.25 17.   17.56 18.13 18.69 19.29 19.85
 20.45 21.09 21.72 22.4  23.03]",0,100.0,7,0,3,116900200300210920
6,Developed Low Intensity,Developed,2,1,41.2744050574819,-73.88110750436093,64.692665,94996415.0927227,"[-5.28 -4.75 -4.3  -3.97 -3.7  -3.48 -3.25 -3.07 -2.92 -2.73 -2.58 -2.47
 -2.32 -2.21 -2.09 -1.98 -1.87 -1.76 -1.68 -1.57 -1.49 -1.42 -1.34 -1.27
 -1.23 -1.16 -1.08 -1.04 -0.97 -0.93 -0.86 -0.82 -0.74 -0.71 -0.67 -0.59
 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11 -0.07
  0.    0.03  0.07  0.11  0.14  0.22  0.26  0.29  0.33  0.41  0.44  0.48
  0.52  0.59  0.63  0.67  0.74  0.78  0.86  0.89  0.93  1.01  1.04  1.12
  1.19  1.23  1.31  1.38  1.46  1.49  1.57  1.64  1.72  1.79  1.91  1.98
  2.06  2.17  2.28  2.39  2.5   2.62  2.77  2.92  3.1   3.33  3.55  3.82
  4.12  4.42  4.75  5.2   5.84]",0,55.0,7,0,3,116900200300210930
7,Deciduous Forest,Forest,2,1,41.21684338409363,-73.77687792207678,37.674835,94996416.66294426,"[-3.740e+00 -3.440e+00 -3.180e+00 -2.950e+00 -2.770e+00 -2.580e+00
 -2.430e+00 -2.280e+00 -2.130e+00 -2.020e+00 -1.870e+00 -1.760e+00
 -1.640e+00 -1.530e+00 -1.420e+00 -1.340e+00 -1.230e+00 -1.120e+00
 -1.040e+00 -9.300e-01 -8.600e-01 -7.800e-01 -6.700e-01 -5.900e-01
 -5.200e-01 -4.400e-01 -3.300e-01 -2.600e-01 -1.800e-01 -1.100e-01
 -3.000e-02  3.000e-02  1.100e-01  2.200e-01  2.900e-01  3.700e-01
  4.400e-01  5.200e-01  6.300e-01  7.100e-01  7.800e-01  8.900e-01
  9.700e-01  1.080e+00  1.190e+00  1.270e+00  1.380e+00  1.490e+00
  1.640e+00  1.760e+00  1.910e+00  2.020e+00  2.170e+00  2.360e+00
  2.500e+00  2.690e+00  2.840e+00  3.030e+00  3.220e+00  3.400e+00
  3.590e+00  3.820e+00  4.000e+00  4.230e+00  4.490e+00  4.750e+00
  5.050e+00  5.430e+00  5.910e+00  6.510e+00  7.230e+00  8.120e+00
  9.170e+00  1.048e+01  1.228e+01  1.408e+01  1.532e+01  1.625e+01
  1.700e+01  1.764e+01  1.828e+01  1.906e+01  1.996e+01  2.105e+01
  2.199e+01  2.266e+01  2.322e+01  2.375e+01  2.427e+01  2.483e+01
  2.536e+01  2.584e+01  2.629e+01  2.671e+01  2.712e+01  2.753e+01
  2.798e+01  2.850e+01  2.910e+01  2.978e+01  3.049e+01]",0,96.0,7,0,3,116900200300211120
8,Developed Open Space,Developed,2,1,41.21379944192128,-73.77139118271904,49.69473,94996416.74560425,"[-6.960e+00 -6.140e+00 -5.540e+00 -5.050e+00 -4.640e+00 -4.270e+00
 -3.930e+00 -3.630e+00 -3.330e+00 -3.070e+00 -2.840e+00 -2.620e+00
 -2.390e+00 -2.170e+00 -1.980e+00 -1.760e+00 -1.570e+00 -1.380e+00
 -1.190e+00 -1.010e+00 -8.600e-01 -7.100e-01 -5.900e-01 -4.400e-01
 -3.300e-01 -1.800e-01 -7.000e-02  3.000e-02  1.800e-01  2.900e-01
  4.400e-01  5.600e-01  7.100e-01  8.600e-01  1.010e+00  1.160e+00
  1.310e+00  1.460e+00  1.610e+00  1.760e+00  1.940e+00  2.090e+00
  2.280e+00  2.470e+00  2.650e+00  2.880e+00  3.070e+00  3.330e+00
  3.590e+00  3.850e+00  4.190e+00  4.680e+00  5.390e+00  6.180e+00
  6.740e+00  7.300e+00  9.590e+00  1.254e+01  1.389e+01  1.558e+01
  1.756e+01  1.835e+01  1.910e+01  2.007e+01  2.101e+01  2.172e+01
  2.221e+01  2.262e+01  2.307e+01  2.356e+01  2.412e+01  2.461e+01
  2.506e+01  2.543e+01  2.577e+01  2.611e+01  2.644e+01  2.678e+01
  2.712e+01  2.742e+01  2.772e+01  2.802e+01  2.828e+01  2.858e+01
  2.884e+01  2.910e+01  2.936e+01  2.959e+01  2.981e+01  3.004e+01
  3.030e+01  3.056e+01  3.086e+01  3.120e+01  3.154e+01  3.191e+01
  3.236e+01  3.289e+01  3.349e+01  3.405e+01  3.472e+01]",0,100.0,7,0,3,116900200300211130
9,Deciduous Forest,Forest,2,1,41.21074850387681,-73.76589784376719,98.85102,94996416.82826424,"[-3.4  -2.58 -1.76 -0.82  0.07  0.97  1.72  2.28  2.69  3.03  3.33  3.59
  3.82  4.    4.19  4.34  4.49  4.64  4.79  4.9   5.05  5.16  5.24  5.35
  5.46  5.54  5.61  5.73  5.8   5.88  5.95  6.03  6.1   6.18  6.21  6.29
  6.36  6.44  6.51  6.55  6.63  6.7   6.78  6.85  6.89  6.96  7.04  7.11
  7.19  7.26  7.34  7.41  7.49  7.6   7.67  7.79  7.9   8.01  8.12  8.24
  8.39  8.57  8.72  8.95  9.17  9.43  9.77 10.33 11.64 15.69 17.26 18.54
 19.51 20.11 20.75 21.42 22.13 22.92 23.67 24.34 24.94 25.58 26.14 26.67
 27.04 27.38 27.72 28.01 28.35 28.76 29.21 29.74 30.34 31.12 32.25 33.3
 34.2  34.94 35.73 36.74 37.75]",0,100.0,7,0,3,116900200300211140
