,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Developed Low Intensity,Developed,2,1,42.997616456156805,-78.68622810212871,153.15755,119116349.92829484,"[-4.29 -3.77 -3.32 -2.95 -2.65 -2.39 -2.16 -2.01 -1.82 -1.71 -1.6  -1.49
 -1.38 -1.26 -1.19 -1.12 -1.04 -0.97 -0.89 -0.82 -0.74 -0.67 -0.59 -0.52
 -0.44 -0.37 -0.33 -0.26 -0.18 -0.11 -0.07  0.    0.07  0.14  0.22  0.26
  0.33  0.41  0.48  0.56  0.59  0.67  0.74  0.82  0.89  0.97  1.04  1.12
  1.19  1.26  1.34  1.45  1.53  1.64  1.71  1.82  1.94  2.05  2.16  2.31
  2.42  2.57  2.72  2.87  3.06  3.24  3.47  3.69  3.95  4.25  4.63  5.
  5.34  5.67  5.97  6.27  6.57  6.87  7.17  7.39  7.65  7.84  8.02  8.21
  8.4   8.58  8.81  9.03  9.26  9.52  9.82 10.12 10.41 10.68 10.94 11.2
 11.42 11.68 11.98 12.36 12.88]",0,0.0,7,64,3,160170200200118419
1,Developed Open Space,Developed,2,1,43.01478326518684,-78.65136795389742,154.43376,119116350.42419045,"[-2.61 -2.12 -1.79 -1.49 -1.3  -1.12 -0.97 -0.82 -0.67 -0.52 -0.41 -0.29
 -0.18 -0.07  0.07  0.18  0.29  0.41  0.52  0.67  0.78  0.93  1.08  1.19
  1.34  1.49  1.68  1.82  2.01  2.24  2.46  2.72  3.02  3.36  3.73  4.1
  4.44  4.74  5.04  5.34  5.63  5.97  6.27  6.53  6.75  6.98  7.17  7.31
  7.5   7.65  7.8   7.95  8.1   8.29  8.44  8.58  8.73  8.88  9.03  9.18
  9.37  9.52  9.67  9.82  9.97 10.12 10.27 10.41 10.53 10.64 10.79 10.9
 11.01 11.12 11.24 11.35 11.46 11.57 11.68 11.8  11.87 11.98 12.13 12.24
 12.36 12.51 12.66 12.8  12.95 13.14 13.33 13.55 13.74 13.96 14.15 14.37
 14.6  14.86 15.12 15.46 15.87]",0,11.0,7,6,3,160170200200118479
2,Pasture/Hay,Planted/Cultivated,2,1,43.01762235920639,-78.64553892149667,156.58131,119116350.50683044,"[-4.1  -3.88 -3.65 -3.43 -3.28 -3.09 -2.95 -2.83 -2.68 -2.57 -2.46 -2.39
 -2.27 -2.2  -2.09 -2.01 -1.94 -1.86 -1.79 -1.71 -1.64 -1.6  -1.53 -1.45
 -1.41 -1.34 -1.26 -1.23 -1.19 -1.12 -1.08 -1.   -0.97 -0.93 -0.85 -0.82
 -0.78 -0.7  -0.67 -0.63 -0.59 -0.52 -0.48 -0.44 -0.41 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.11 -0.07 -0.03  0.    0.03  0.07  0.14  0.18  0.22  0.26
  0.29  0.37  0.41  0.44  0.48  0.52  0.59  0.63  0.67  0.74  0.78  0.82
  0.85  0.93  0.97  1.04  1.08  1.15  1.19  1.26  1.3   1.38  1.45  1.49
  1.56  1.64  1.71  1.79  1.86  1.94  2.05  2.12  2.24  2.35  2.5   2.61
  2.8   2.98  3.21  3.51  3.95]",0,0.0,7,47,3,160170200200118489
3,Developed Open Space,Developed,2,1,43.02045546146788,-78.63969903988776,158.00058,119116350.58947045,"[-3.95 -3.51 -3.21 -2.98 -2.76 -2.57 -2.42 -2.24 -2.09 -1.97 -1.82 -1.71
 -1.6  -1.49 -1.41 -1.3  -1.23 -1.15 -1.04 -0.97 -0.89 -0.82 -0.74 -0.7
 -0.63 -0.56 -0.48 -0.44 -0.37 -0.29 -0.26 -0.18 -0.11 -0.07  0.    0.07
  0.14  0.18  0.26  0.33  0.37  0.44  0.52  0.56  0.63  0.7   0.74  0.82
  0.89  0.97  1.    1.08  1.15  1.23  1.3   1.34  1.41  1.49  1.56  1.68
  1.75  1.82  1.94  2.01  2.12  2.24  2.35  2.5   2.65  2.8   2.98  3.17
  3.39  3.65  3.92  4.18  4.48  4.78  5.04  5.34  5.6   5.86  6.12  6.42
  6.68  6.98  7.28  7.54  7.84  8.1   8.36  8.62  8.96  9.26  9.59  9.89
 10.23 10.56 10.86 11.2  11.57]",0,0.0,7,56,3,160170200200118499
4,Deciduous Forest,Forest,2,1,43.02614085633952,-78.6280162534218,152.5278,119116350.75475045,"[-3.92 -3.43 -3.06 -2.76 -2.5  -2.24 -2.01 -1.79 -1.56 -1.38 -1.19 -1.
 -0.82 -0.67 -0.48 -0.33 -0.18 -0.03  0.14  0.29  0.44  0.63  0.78  0.97
  1.15  1.34  1.56  1.75  1.94  2.12  2.31  2.5   2.68  2.87  3.02  3.24
  3.43  3.62  3.84  4.1   4.4   4.7   5.04  5.41  5.75  6.08  6.42  6.72
  6.98  7.28  7.54  7.84  8.14  8.44  8.66  8.92  9.11  9.29  9.48  9.67
  9.85 10.04 10.23 10.38 10.56 10.71 10.9  11.05 11.24 11.39 11.57 11.72
 11.91 12.09 12.28 12.47 12.66 12.84 13.03 13.22 13.4  13.59 13.78 13.96
 14.15 14.34 14.49 14.67 14.86 15.01 15.19 15.38 15.53 15.72 15.94 16.13
 16.39 16.65 16.95 17.32 17.81]",0,81.0,7,0,3,160170200200118519
5,Pasture/Hay,Planted/Cultivated,2,1,43.0318760299248,-78.61641046521098,151.0766,119116350.92003044,"[-4.55 -4.25 -3.99 -3.77 -3.58 -3.39 -3.24 -3.09 -2.98 -2.87 -2.72 -2.65
 -2.53 -2.42 -2.35 -2.27 -2.2  -2.09 -2.01 -1.94 -1.86 -1.82 -1.75 -1.68
 -1.6  -1.56 -1.49 -1.45 -1.38 -1.3  -1.26 -1.19 -1.15 -1.12 -1.04 -1.
 -0.93 -0.89 -0.85 -0.78 -0.74 -0.7  -0.63 -0.59 -0.56 -0.48 -0.44 -0.41
 -0.37 -0.29 -0.26 -0.22 -0.14 -0.11 -0.07 -0.03  0.03  0.07  0.11  0.14
  0.22  0.26  0.29  0.33  0.41  0.44  0.48  0.56  0.59  0.63  0.7   0.74
  0.78  0.85  0.89  0.97  1.    1.04  1.12  1.19  1.23  1.3   1.34  1.41
  1.49  1.56  1.64  1.71  1.79  1.86  1.94  2.05  2.16  2.27  2.39  2.53
  2.68  2.87  3.13  3.43  3.99]",0,86.0,7,0,3,160170200200118539
6,Deciduous Forest,Forest,2,1,43.06358661969322,-78.55179944056118,148.49104,119116351.83739,"[-3.17 -2.98 -2.8  -2.61 -2.5  -2.35 -2.24 -2.12 -2.05 -1.94 -1.86 -1.79
 -1.68 -1.6  -1.56 -1.49 -1.41 -1.34 -1.26 -1.23 -1.15 -1.08 -1.04 -0.97
 -0.93 -0.85 -0.82 -0.78 -0.7  -0.67 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37
 -0.29 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.03  0.07  0.11  0.18  0.22
  0.26  0.29  0.37  0.41  0.44  0.52  0.56  0.63  0.67  0.7   0.78  0.82
  0.89  0.93  1.    1.08  1.12  1.19  1.26  1.3   1.38  1.45  1.53  1.6
  1.68  1.79  1.86  1.97  2.05  2.16  2.27  2.42  2.57  2.72  2.87  3.09
  3.32  3.54  3.8   4.1   4.36  4.7   5.    5.34  5.67  6.01  6.38  6.72
  7.05  7.43  7.8   8.21  8.66]",0,0.0,7,0,3,160170200200118649
7,Woody Wetlands,Wetlands,2,1,43.07524216299063,-78.52786627810853,155.23416,119116352.176233,"[-7.5  -7.05 -6.68 -6.34 -5.97 -5.56 -5.   -3.65 -2.16 -1.49 -1.08 -0.7
 -0.37 -0.07  0.26  0.59  0.97  1.38  1.82  2.24  2.61  2.95  3.28  3.62
  3.88  4.14  4.36  4.59  4.81  5.04  5.26  5.45  5.63  5.86  6.04  6.23
  6.46  6.64  6.87  7.09  7.31  7.58  7.8   8.02  8.21  8.44  8.62  8.81
  8.96  9.11  9.26  9.41  9.56  9.7   9.82  9.97 10.12 10.23 10.38 10.49
 10.64 10.79 10.94 11.05 11.2  11.31 11.46 11.61 11.72 11.87 11.98 12.13
 12.24 12.39 12.51 12.66 12.8  12.92 13.07 13.22 13.36 13.51 13.7  13.85
 14.04 14.22 14.37 14.56 14.75 14.93 15.12 15.31 15.49 15.68 15.9  16.13
 16.39 16.69 16.99 17.36 17.88]",0,77.0,7,0,3,160170200200118689
8,Woody Wetlands,Wetlands,2,1,43.09216188033618,-78.49286268382176,148.41805,119116352.67210951,"[-1.64 -1.12 -0.56 -0.11  0.33  0.85  1.45  2.01  2.53  2.98  3.39  3.84
  4.25  4.66  5.07  5.56  6.12  6.79  7.76  8.73  9.56 10.23 10.9  11.53
 12.02 12.51 12.95 13.33 13.7  14.04 14.41 14.78 15.19 15.57 15.9  16.24
 16.5  16.76 17.02 17.25 17.51 17.73 18.   18.26 18.52 18.82 19.12 19.45
 19.75 20.01 20.27 20.5  20.72 20.91 21.1  21.28 21.47 21.66 21.8  21.95
 22.1  22.25 22.4  22.55 22.66 22.81 22.93 23.07 23.19 23.3  23.45 23.56
 23.71 23.82 23.93 24.08 24.19 24.31 24.46 24.61 24.72 24.87 25.05 25.2
 25.39 25.54 25.73 25.88 26.06 26.25 26.44 26.62 26.81 27.03 27.26 27.52
 27.78 28.12 28.53 29.05 29.65]",0,97.0,7,0,3,160170200200118749
9,Woody Wetlands,Wetlands,2,1,43.09497040508179,-78.48704830158621,150.11119,119116352.75474954,"[-3.43 -3.09 -2.72 -2.39 -1.97 -1.56 -1.23 -0.97 -0.7  -0.48 -0.29 -0.11
  0.07  0.29  0.48  0.7   0.93  1.23  1.53  1.9   2.35  2.83  3.36  4.03
  4.59  5.15  5.75  6.57  7.31  7.8   8.17  8.51  8.85  9.22  9.56  9.93
 10.3  10.64 10.9  11.16 11.42 11.65 11.87 12.09 12.32 12.54 12.77 12.95
 13.18 13.44 13.7  13.96 14.19 14.41 14.63 14.82 15.01 15.19 15.34 15.53
 15.72 15.94 16.13 16.31 16.5  16.69 16.88 17.06 17.21 17.36 17.51 17.66
 17.81 17.92 18.07 18.22 18.37 18.52 18.67 18.82 19.   19.15 19.34 19.53
 19.71 19.9  20.12 20.31 20.57 20.8  21.06 21.32 21.62 21.95 22.29 22.63
 22.96 23.34 23.71 24.16 24.72]",0,100.0,7,0,3,160170200200118759
