,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,shot_number
58750,2,1,42.13896342167527,-79.7617889106199,390.12814,55897989.04057805,"[-5.04 -4.22 -3.47 -2.87 -2.43 -2.13 -1.86 -1.68 -1.45 -1.3  -1.12 -0.97
 -0.82 -0.71 -0.56 -0.44 -0.29 -0.18 -0.07  0.07  0.18  0.29  0.44  0.56
  0.71  0.82  0.97  1.12  1.27  1.42  1.57  1.72  1.9   2.05  2.24  2.39
  2.58  2.76  2.91  3.1   3.32  3.51  3.7   3.92  4.15  4.37  4.56  4.78
  4.97  5.19  5.42  5.64  5.9   6.17  6.39  6.61  6.84  7.06  7.29  7.51
  7.74  7.96  8.22  8.45  8.67  8.9   9.08  9.31  9.53  9.76  9.98 10.24
 10.5  10.8  11.1  11.4  11.7  12.   12.26 12.52 12.78 13.05 13.31 13.57
 13.79 14.06 14.28 14.54 14.77 15.03 15.29 15.59 15.89 16.22 16.6  17.01
 17.42 17.98 18.58 19.22 20.  ]",0,56.0,46740200300393748
58760,2,1,42.13602081832078,-79.75611234920704,387.23187,55897989.12323205,"[-5.57 -4.71 -4.07 -3.62 -3.25 -2.95 -2.69 -2.5  -2.35 -2.2  -2.05 -1.94
 -1.83 -1.72 -1.6  -1.53 -1.45 -1.38 -1.27 -1.19 -1.15 -1.08 -1.   -0.93
 -0.86 -0.82 -0.74 -0.71 -0.63 -0.59 -0.52 -0.48 -0.41 -0.37 -0.33 -0.26
 -0.22 -0.18 -0.11 -0.07  0.    0.03  0.07  0.14  0.18  0.22  0.29  0.33
  0.37  0.44  0.48  0.56  0.59  0.67  0.71  0.78  0.82  0.89  0.97  1.
  1.08  1.15  1.23  1.3   1.38  1.42  1.49  1.57  1.68  1.75  1.83  1.9
  1.98  2.05  2.13  2.24  2.31  2.43  2.5   2.58  2.69  2.8   2.91  3.02
  3.14  3.25  3.36  3.51  3.66  3.81  4.    4.18  4.37  4.59  4.82  5.08
  5.34  5.6   5.94  6.39  7.32]",0,54.0,46740200300393758
58770,2,1,42.133081014703336,-79.75044465929557,399.58496,55897989.20589205,"[-3.36 -2.95 -2.61 -2.35 -2.09 -1.9  -1.72 -1.57 -1.38 -1.23 -1.08 -0.97
 -0.82 -0.67 -0.56 -0.44 -0.29 -0.18 -0.07  0.07  0.18  0.29  0.44  0.56
  0.71  0.82  0.97  1.12  1.27  1.42  1.6   1.79  1.98  2.16  2.43  2.65
  2.95  3.25  3.62  4.    4.45  4.97  5.57  6.24  6.95  7.7   8.48  9.23
  9.9  10.47 10.99 11.44 11.85 12.26 12.6  12.93 13.27 13.57 13.87 14.17
 14.47 14.73 14.99 15.25 15.51 15.74 15.96 16.19 16.41 16.64 16.82 17.05
 17.27 17.46 17.68 17.87 18.09 18.32 18.54 18.77 18.99 19.22 19.44 19.7
 19.93 20.19 20.41 20.68 20.94 21.16 21.42 21.68 21.95 22.25 22.51 22.81
 23.14 23.52 24.   24.6  25.54]",0,100.0,46740200300393768
58780,2,1,42.13013048943643,-79.7447616414232,397.5103,55897989.28855205,"[-4.3  -3.88 -3.62 -3.36 -3.17 -3.02 -2.87 -2.72 -2.61 -2.5  -2.39 -2.28
 -2.2  -2.09 -2.01 -1.94 -1.86 -1.79 -1.72 -1.64 -1.57 -1.49 -1.42 -1.38
 -1.3  -1.27 -1.19 -1.12 -1.08 -1.   -0.97 -0.93 -0.86 -0.82 -0.74 -0.71
 -0.67 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.26 -0.22 -0.18 -0.14
 -0.07 -0.03  0.    0.03  0.11  0.14  0.18  0.22  0.29  0.33  0.37  0.44
  0.48  0.52  0.59  0.63  0.67  0.74  0.78  0.82  0.89  0.93  1.    1.04
  1.12  1.19  1.23  1.3   1.38  1.42  1.49  1.57  1.64  1.72  1.79  1.86
  1.98  2.05  2.16  2.24  2.35  2.46  2.58  2.72  2.87  3.02  3.17  3.4
  3.59  3.85  4.18  4.59  5.34]",0,0.0,46740200300393778
58790,2,1,42.12718437991171,-79.73909205449286,391.91226,55897989.3711936,"[-3.44 -2.5  -1.86 -1.38 -1.   -0.71 -0.44 -0.18  0.07  0.33  0.59  0.89
  1.23  1.53  1.9   2.31  2.8   3.44  4.07  4.63  5.12  5.6   6.09  6.65
  7.25  7.89  8.63  9.46 10.2  10.88 11.48 12.04 12.75 13.46 14.02 14.62
 15.44 16.26 16.86 17.38 17.87 18.32 18.73 19.1  19.44 19.74 20.   20.26
 20.53 20.79 21.05 21.31 21.54 21.76 21.98 22.21 22.43 22.66 22.88 23.07
 23.29 23.52 23.74 23.97 24.15 24.38 24.6  24.86 25.13 25.42 25.76 26.1
 26.4  26.7  26.96 27.22 27.48 27.74 27.97 28.15 28.34 28.53 28.72 28.9
 29.09 29.28 29.46 29.65 29.84 30.02 30.17 30.36 30.55 30.73 30.96 31.22
 31.52 31.86 32.31 32.9  33.95]",0,81.0,46740200300393788
58800,2,1,42.12425977251494,-79.73346865652258,400.5924,55897989.4538336,"[-3.02 -2.54 -2.13 -1.79 -1.53 -1.27 -1.08 -0.86 -0.67 -0.52 -0.33 -0.18
  0.    0.14  0.29  0.48  0.67  0.86  1.08  1.3   1.6   2.05  3.21  6.43
  7.96  9.38 10.8  12.15 13.2  14.06 14.84 15.55 16.15 16.67 17.2  17.68
 18.17 18.66 19.1  19.52 19.93 20.34 20.71 21.09 21.42 21.72 22.02 22.32
 22.58 22.81 23.07 23.29 23.52 23.74 23.97 24.15 24.38 24.56 24.75 24.94
 25.09 25.27 25.42 25.61 25.76 25.91 26.1  26.25 26.4  26.55 26.7  26.81
 26.96 27.11 27.22 27.37 27.52 27.63 27.74 27.89 28.   28.15 28.27 28.38
 28.53 28.64 28.75 28.9  29.01 29.16 29.31 29.43 29.61 29.76 29.91 30.1
 30.32 30.58 30.88 31.3  32.04]",0,77.0,46740200300393798
58810,2,1,42.121346476410906,-79.72788444114579,438.00726,55897989.5364736,"[-1.79 -1.27 -0.82 -0.41  0.    0.37  0.78  1.23  1.75  2.39  3.4   5.57
  7.59  8.93  9.98 10.99 11.92 12.63 13.2  13.68 14.13 14.54 14.88 15.25
 15.59 15.89 16.19 16.45 16.71 16.94 17.16 17.35 17.53 17.72 17.91 18.06
 18.24 18.39 18.54 18.69 18.81 18.95 19.07 19.22 19.33 19.44 19.55 19.67
 19.78 19.89 20.   20.11 20.19 20.3  20.41 20.49 20.6  20.71 20.79 20.9
 20.97 21.09 21.16 21.27 21.35 21.46 21.54 21.65 21.72 21.83 21.91 22.02
 22.1  22.21 22.28 22.4  22.51 22.58 22.69 22.81 22.88 22.99 23.11 23.22
 23.33 23.44 23.55 23.67 23.82 23.93 24.08 24.23 24.38 24.53 24.71 24.94
 25.16 25.42 25.76 26.21 27.03]",0,94.0,46740200300393808
58820,2,1,42.11839664191037,-79.72224121467174,428.02112,55897989.6191136,"[-5.01 -3.88 -3.17 -2.72 -2.43 -2.2  -2.01 -1.86 -1.75 -1.64 -1.53 -1.45
 -1.34 -1.27 -1.19 -1.12 -1.04 -1.   -0.93 -0.86 -0.82 -0.74 -0.71 -0.67
 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11
 -0.07  0.    0.03  0.07  0.11  0.14  0.18  0.26  0.29  0.33  0.37  0.44
  0.48  0.52  0.59  0.63  0.67  0.74  0.78  0.86  0.89  0.97  1.    1.08
  1.15  1.23  1.3   1.38  1.45  1.57  1.64  1.75  1.86  2.01  2.2   2.39
  2.65  3.02  3.55  4.45  6.28  8.45  9.57 10.62 11.77 12.52 13.12 13.72
 14.21 14.73 15.36 16.   16.49 16.9  17.31 17.68 18.13 18.54 18.95 19.37
 19.74 20.15 20.64 21.24 22.21]",0,90.0,46740200300393818
58830,2,1,42.11541816289828,-79.71658145288684,453.83374,55897989.7017536,"[-4.71 -3.59 -2.69 -1.86 -1.19 -0.71 -0.29  0.11  0.48  0.93  1.38  1.79
  2.16  2.54  2.87  3.17  3.47  3.73  4.    4.26  4.52  4.78  5.04  5.31
  5.57  5.83  6.09  6.31  6.54  6.73  6.91  7.1   7.25  7.4   7.55  7.7
  7.85  7.96  8.11  8.22  8.37  8.48  8.6   8.71  8.82  8.93  9.04  9.16
  9.27  9.38  9.49  9.61  9.72  9.79  9.9  10.02 10.09 10.2  10.32 10.43
 10.5  10.62 10.69 10.8  10.91 11.03 11.1  11.21 11.33 11.44 11.55 11.63
 11.74 11.89 12.   12.11 12.22 12.37 12.52 12.63 12.78 12.93 13.08 13.23
 13.38 13.57 13.72 13.91 14.06 14.28 14.47 14.69 14.92 15.18 15.44 15.7
 16.   16.34 16.79 17.42 18.47]",0,100.0,46740200300393828
58840,2,1,42.112433295835885,-79.71090048684451,461.66724,55897989.7843936,"[-1.45 -0.97 -0.52 -0.14  0.26  0.67  1.12  1.68  2.43  3.77  5.53  7.06
  8.82  9.76 10.39 10.88 11.33 11.77 12.26 12.75 13.23 13.72 14.21 14.62
 15.03 15.4  15.74 16.04 16.34 16.6  16.86 17.08 17.31 17.53 17.76 17.98
 18.21 18.39 18.62 18.84 19.03 19.25 19.44 19.67 19.85 20.04 20.23 20.41
 20.56 20.75 20.9  21.05 21.2  21.35 21.54 21.68 21.83 21.98 22.13 22.28
 22.47 22.62 22.77 22.92 23.07 23.26 23.4  23.55 23.7  23.85 24.   24.15
 24.3  24.45 24.6  24.75 24.9  25.05 25.2  25.35 25.5  25.69 25.84 26.02
 26.17 26.36 26.51 26.7  26.88 27.07 27.26 27.48 27.71 27.93 28.15 28.45
 28.75 29.13 29.61 30.25 31.18]",0,100.0,46740200300393838
