,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Deciduous Forest,Forest,2,1,43.15737940178954,-79.01936963627824,146.965,56387188.3879843,"[-4.63 -3.85 -3.36 -2.99 -2.72 -2.54 -2.35 -2.2  -2.05 -1.94 -1.83 -1.71
 -1.6  -1.53 -1.42 -1.34 -1.27 -1.15 -1.08 -1.   -0.93 -0.85 -0.74 -0.67
 -0.59 -0.52 -0.44 -0.37 -0.29 -0.22 -0.14 -0.07  0.    0.07  0.14  0.26
  0.33  0.41  0.48  0.56  0.63  0.71  0.78  0.85  0.93  1.04  1.12  1.19
  1.27  1.34  1.45  1.53  1.6   1.71  1.79  1.86  1.98  2.05  2.16  2.24
  2.31  2.42  2.5   2.61  2.69  2.8   2.87  2.99  3.06  3.17  3.28  3.36
  3.47  3.58  3.7   3.81  3.92  4.03  4.14  4.29  4.41  4.56  4.7   4.85
  5.    5.19  5.34  5.49  5.68  5.86  6.05  6.24  6.42  6.61  6.84  7.1
  7.43  7.84  8.33  9.    9.9 ]",0,58.0,7,0,3,47620200200140088
1,Deciduous Forest,Forest,2,1,43.16020822968564,-79.0135152570462,146.83806,56387188.4706243,"[-3.55 -2.8  -2.28 -1.83 -1.45 -1.12 -0.85 -0.63 -0.41 -0.18  0.    0.18
  0.37  0.59  0.82  1.    1.23  1.45  1.64  1.83  2.01  2.2   2.39  2.54
  2.72  2.87  3.02  3.21  3.36  3.47  3.62  3.77  3.88  4.03  4.18  4.29
  4.44  4.59  4.7   4.85  5.    5.12  5.27  5.38  5.49  5.6   5.71  5.83
  5.98  6.09  6.2   6.31  6.42  6.54  6.65  6.76  6.87  7.02  7.13  7.25
  7.4   7.51  7.66  7.81  7.92  8.07  8.26  8.41  8.59  8.78  8.97  9.15
  9.38  9.6   9.86 10.16 10.46 10.84 11.25 11.73 12.29 12.74 13.12 13.49
 13.83 14.16 14.46 14.8  15.17 15.58 16.07 16.63 17.11 17.56 18.05 18.5
 18.95 19.4  19.99 20.7  21.41]",0,97.0,7,0,3,47620200200140098
2,Developed Low Intensity,Developed,2,1,43.16869450032387,-78.99594676302732,156.86392,56387188.7185443,"[-3.58 -3.13 -2.8  -2.57 -2.39 -2.24 -2.09 -1.98 -1.86 -1.75 -1.68 -1.6
 -1.53 -1.45 -1.38 -1.3  -1.27 -1.19 -1.15 -1.12 -1.04 -1.   -0.97 -0.93
 -0.85 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44
 -0.41 -0.37 -0.33 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03
  0.    0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26  0.29  0.33  0.33
  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74  0.78
  0.82  0.89  0.93  0.97  1.    1.04  1.08  1.15  1.19  1.23  1.3   1.34
  1.42  1.45  1.53  1.56  1.64  1.71  1.79  1.86  1.98  2.05  2.16  2.31
  2.46  2.61  2.84  3.1   3.58]",0,0.0,7,26,3,47620200200140128
3,Cultivated Crops,Planted/Cultivated,2,1,43.17153273123387,-78.99008647439334,152.80685,56387188.8011843,"[-3.81 -3.43 -3.17 -2.95 -2.76 -2.61 -2.46 -2.35 -2.24 -2.13 -2.05 -1.94
 -1.86 -1.79 -1.71 -1.64 -1.6  -1.53 -1.45 -1.42 -1.34 -1.3  -1.23 -1.19
 -1.15 -1.08 -1.04 -1.   -0.97 -0.89 -0.85 -0.82 -0.78 -0.74 -0.71 -0.63
 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.29
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.74  0.78
  0.82  0.85  0.89  0.97  1.    1.04  1.12  1.15  1.19  1.27  1.3   1.38
  1.45  1.49  1.56  1.64  1.71  1.79  1.9   1.98  2.09  2.2   2.31  2.46
  2.61  2.8   3.06  3.43  4.07]",0,0.0,7,0,3,47620200200140138
4,Deciduous Forest,Forest,2,1,43.17466231200387,-78.98363600072521,135.62068,56387188.8921003,"[-3.99 -3.32 -2.76 -2.35 -2.01 -1.71 -1.42 -1.19 -1.   -0.82 -0.63 -0.48
 -0.33 -0.18 -0.03  0.11  0.26  0.41  0.56  0.74  0.89  1.04  1.19  1.34
  1.49  1.64  1.79  1.94  2.09  2.2   2.35  2.5   2.65  2.8   2.95  3.1
  3.25  3.4   3.55  3.7   3.85  3.99  4.14  4.26  4.41  4.52  4.67  4.78
  4.93  5.04  5.15  5.27  5.42  5.53  5.64  5.75  5.9   6.01  6.13  6.24
  6.39  6.5   6.61  6.76  6.87  6.99  7.13  7.25  7.4   7.51  7.62  7.77
  7.88  8.03  8.14  8.29  8.44  8.59  8.74  8.89  9.04  9.23  9.38  9.56
  9.75  9.9  10.09 10.31 10.5  10.72 10.95 11.21 11.51 11.77 12.07 12.33
 12.63 12.93 13.23 13.64 14.31]",0,82.0,7,0,3,47620200200140148
5,Deciduous Forest,Forest,2,1,43.17750226200463,-78.97777686608987,128.39397,56387188.9747603,"[-4.63 -3.96 -3.4  -2.84 -2.24 -1.6  -1.04 -0.59 -0.18  0.14  0.56  0.93
  1.3   1.64  1.94  2.16  2.42  2.65  2.84  3.06  3.25  3.4   3.58  3.73
  3.88  4.03  4.18  4.29  4.44  4.56  4.7   4.82  4.93  5.08  5.19  5.3
  5.42  5.53  5.64  5.75  5.86  5.98  6.09  6.2   6.27  6.39  6.5   6.57
  6.69  6.8   6.87  6.99  7.1   7.21  7.28  7.4   7.51  7.62  7.73  7.84
  7.96  8.07  8.18  8.29  8.41  8.52  8.63  8.74  8.85  8.97  9.08  9.19
  9.3   9.41  9.49  9.6   9.71  9.83  9.94 10.05 10.16 10.27 10.39 10.54
 10.69 10.8  10.98 11.13 11.28 11.47 11.66 11.84 12.07 12.29 12.59 12.89
 13.23 13.6  14.01 14.54 15.4 ]",0,98.0,7,2,3,47620200200140158
6,Pasture/Hay,Planted/Cultivated,2,1,43.18034985801575,-78.97189685112066,94.38851,56387189.0574203,"[-3.73 -3.36 -3.1  -2.87 -2.69 -2.54 -2.42 -2.28 -2.2  -2.09 -1.98 -1.9
 -1.83 -1.75 -1.68 -1.6  -1.53 -1.49 -1.42 -1.38 -1.3  -1.27 -1.19 -1.15
 -1.08 -1.04 -1.   -0.93 -0.89 -0.85 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59
 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.22 -0.18 -0.14 -0.11 -0.07
 -0.03  0.    0.03  0.07  0.11  0.14  0.22  0.26  0.29  0.33  0.37  0.41
  0.44  0.48  0.56  0.59  0.63  0.67  0.71  0.78  0.82  0.85  0.89  0.97
  1.    1.08  1.12  1.15  1.23  1.27  1.34  1.42  1.45  1.53  1.6   1.68
  1.75  1.83  1.94  2.01  2.13  2.24  2.35  2.46  2.65  2.8   3.02  3.28
  3.66  4.18  4.85  5.64  6.5 ]",0,32.0,7,0,3,47620200200140168
7,Cultivated Crops,Planted/Cultivated,2,1,43.183183277432,-78.96603072211761,84.485825,56387189.1400639,"[-4.14 -3.77 -3.47 -3.25 -3.06 -2.87 -2.72 -2.61 -2.46 -2.35 -2.24 -2.16
 -2.05 -1.98 -1.9  -1.83 -1.75 -1.68 -1.6  -1.53 -1.49 -1.42 -1.34 -1.3
 -1.23 -1.19 -1.15 -1.08 -1.04 -0.97 -0.93 -0.89 -0.85 -0.78 -0.74 -0.71
 -0.67 -0.63 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.11  0.14  0.18  0.22  0.26  0.29
  0.33  0.37  0.44  0.48  0.52  0.56  0.59  0.63  0.71  0.74  0.78  0.82
  0.89  0.93  0.97  1.04  1.08  1.15  1.19  1.27  1.3   1.38  1.45  1.49
  1.56  1.64  1.71  1.79  1.86  1.98  2.05  2.16  2.28  2.39  2.54  2.69
  2.87  3.1   3.36  3.77  4.44]",0,20.0,7,0,3,47620200200140178
8,Cultivated Crops,Planted/Cultivated,2,1,43.186017902027245,-78.9601674665363,74.068275,56387189.2227039,"[-3.62 -3.32 -3.1  -2.91 -2.72 -2.57 -2.46 -2.35 -2.24 -2.13 -2.05 -1.94
 -1.86 -1.79 -1.71 -1.68 -1.6  -1.53 -1.45 -1.42 -1.34 -1.3  -1.27 -1.19
 -1.15 -1.08 -1.04 -1.   -0.97 -0.89 -0.85 -0.82 -0.78 -0.74 -0.71 -0.67
 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26
  0.29  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.78
  0.82  0.85  0.89  0.93  1.    1.04  1.08  1.15  1.19  1.27  1.3   1.38
  1.42  1.49  1.56  1.64  1.68  1.79  1.86  1.94  2.05  2.13  2.24  2.39
  2.54  2.72  2.95  3.25  3.77]",0,0.0,7,0,3,47620200200140188
9,Cultivated Crops,Planted/Cultivated,2,1,43.1945131999653,-78.94260239420147,69.78178,56387189.4706239,"[-3.58 -3.32 -3.1  -2.95 -2.76 -2.65 -2.5  -2.39 -2.28 -2.2  -2.09 -2.01
 -1.94 -1.86 -1.79 -1.71 -1.64 -1.56 -1.53 -1.45 -1.42 -1.34 -1.3  -1.23
 -1.19 -1.12 -1.08 -1.04 -1.   -0.93 -0.89 -0.85 -0.82 -0.74 -0.71 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22  0.26
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.71  0.74  0.78
  0.82  0.85  0.93  0.97  1.    1.08  1.12  1.15  1.23  1.27  1.34  1.38
  1.45  1.53  1.6   1.68  1.75  1.83  1.9   2.01  2.13  2.24  2.35  2.5
  2.65  2.87  3.13  3.51  4.03]",0,0.0,7,0,3,47620200200140218
