,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Pasture/Hay,Planted/Cultivated,2,1,44.83590558139719,-75.28796249437839,47.466637,97799892.7207945,"[-2.69 -2.5  -2.36 -2.24 -2.09 -2.02 -1.91 -1.79 -1.72 -1.64 -1.57 -1.49
 -1.42 -1.38 -1.31 -1.27 -1.19 -1.16 -1.08 -1.04 -1.01 -0.97 -0.93 -0.86
 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.52 -0.48 -0.44
 -0.41 -0.37 -0.33 -0.29 -0.26 -0.26 -0.22 -0.18 -0.14 -0.11 -0.11 -0.07
 -0.03  0.    0.03  0.03  0.07  0.11  0.14  0.18  0.22  0.22  0.26  0.29
  0.33  0.37  0.41  0.44  0.44  0.48  0.52  0.56  0.59  0.63  0.67  0.71
  0.74  0.78  0.82  0.89  0.93  0.97  1.01  1.04  1.12  1.16  1.19  1.27
  1.31  1.38  1.46  1.53  1.57  1.64  1.76  1.83  1.91  2.02  2.09  2.21
  2.32  2.47  2.58  2.77  2.95]",0,0.0,7,0,3,121930200300214134
1,Pasture/Hay,Planted/Cultivated,2,1,44.83067754053944,-75.27554844573379,45.389286,97799892.8860745,"[-3.93 -3.67 -3.4  -3.22 -3.03 -2.88 -2.73 -2.62 -2.5  -2.39 -2.28 -2.17
 -2.09 -2.02 -1.94 -1.87 -1.79 -1.72 -1.64 -1.57 -1.53 -1.46 -1.38 -1.34
 -1.27 -1.23 -1.19 -1.12 -1.08 -1.04 -0.97 -0.93 -0.89 -0.86 -0.78 -0.74
 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.48  0.52  0.56  0.59  0.63  0.67
  0.71  0.78  0.82  0.86  0.89  0.93  1.01  1.04  1.08  1.16  1.19  1.27
  1.31  1.38  1.46  1.49  1.57  1.64  1.72  1.79  1.91  1.98  2.09  2.21
  2.36  2.5   2.73  2.99  3.48]",0,0.0,7,0,3,121930200300214154
2,Pasture/Hay,Planted/Cultivated,2,1,44.81765731949298,-75.24456524509003,60.865456,97799893.2992865,"[-3.89 -3.59 -3.29 -3.1  -2.92 -2.73 -2.58 -2.47 -2.36 -2.24 -2.17 -2.06
 -1.98 -1.91 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.42 -1.38 -1.31 -1.27
 -1.23 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.67  0.71  0.74  0.82  0.86  0.89  0.93  0.97  1.04  1.08  1.12  1.19
  1.23  1.31  1.34  1.42  1.49  1.57  1.61  1.72  1.79  1.87  1.98  2.09
  2.21  2.39  2.58  2.84  3.37]",0,0.0,7,0,3,121930200300214204
3,Woody Wetlands,Wetlands,2,1,44.81506972711613,-75.23835519006477,52.64911,97799893.3819465,"[-3.7  -3.03 -2.65 -2.39 -2.17 -2.02 -1.83 -1.72 -1.57 -1.46 -1.34 -1.23
 -1.16 -1.04 -0.97 -0.89 -0.82 -0.74 -0.67 -0.59 -0.56 -0.48 -0.44 -0.37
 -0.33 -0.26 -0.22 -0.14 -0.11 -0.03  0.    0.07  0.11  0.14  0.22  0.26
  0.33  0.37  0.44  0.52  0.56  0.63  0.71  0.78  0.86  0.93  1.01  1.08
  1.19  1.31  1.38  1.53  1.64  1.79  1.94  2.09  2.28  2.5   2.77  3.07
  3.37  3.7   4.08  4.49  4.9   5.28  5.65  5.99  6.33  6.7   7.04  7.37
  7.71  8.01  8.27  8.54  8.8   9.02  9.25  9.44  9.66  9.88 10.11 10.33
 10.56 10.82 11.12 11.42 11.76 12.13 12.51 12.88 13.26 13.59 13.97 14.34
 14.75 15.28 15.77 16.29 16.89]",0,100.0,7,0,3,121930200300214214
4,Evergreen Forest,Forest,2,1,44.81246401136328,-75.23215505125835,64.92887,97799893.4646065,"[-2.88 -2.54 -2.28 -2.02 -1.79 -1.61 -1.42 -1.27 -1.12 -0.97 -0.82 -0.71
 -0.56 -0.44 -0.33 -0.22 -0.07  0.03  0.14  0.26  0.37  0.52  0.63  0.74
  0.89  1.04  1.19  1.34  1.53  1.68  1.87  2.09  2.28  2.5   2.73  2.92
  3.14  3.33  3.52  3.7   3.89  4.04  4.19  4.38  4.53  4.64  4.79  4.94
  5.09  5.2   5.35  5.46  5.61  5.73  5.84  5.99  6.1   6.21  6.33  6.44
  6.55  6.66  6.78  6.89  7.    7.07  7.19  7.3   7.37  7.49  7.6   7.67
  7.79  7.86  7.97  8.05  8.16  8.24  8.35  8.46  8.54  8.65  8.76  8.84
  8.95  9.06  9.17  9.29  9.4   9.51  9.62  9.77  9.88 10.03 10.18 10.37
 10.56 10.78 11.05 11.42 11.98]",0,89.0,7,0,3,121930200300214224
5,Deciduous Forest,Forest,2,1,44.80958507003775,-75.22533228989889,55.62726,97799893.55551404,"[-3.59 -3.33 -3.07 -2.88 -2.69 -2.54 -2.43 -2.32 -2.21 -2.09 -1.98 -1.91
 -1.83 -1.76 -1.68 -1.61 -1.53 -1.49 -1.42 -1.34 -1.31 -1.27 -1.19 -1.16
 -1.12 -1.04 -1.01 -0.97 -0.93 -0.89 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63
 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22
  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.67
  0.71  0.74  0.78  0.82  0.89  0.93  0.97  1.01  1.08  1.12  1.16  1.23
  1.27  1.34  1.42  1.46  1.53  1.61  1.68  1.79  1.87  1.98  2.13  2.24
  2.43  2.65  2.92  3.29  3.89]",0,0.0,7,0,3,121930200300214234
6,Pasture/Hay,Planted/Cultivated,2,1,44.8069693942597,-75.2191327389237,57.61136,97799893.63815404,"[-4.12 -3.74 -3.44 -3.22 -2.99 -2.84 -2.69 -2.54 -2.43 -2.32 -2.21 -2.13
 -2.06 -1.94 -1.87 -1.79 -1.76 -1.68 -1.61 -1.53 -1.49 -1.42 -1.38 -1.31
 -1.27 -1.23 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.74
 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59
  0.67  0.71  0.74  0.78  0.82  0.86  0.93  0.97  1.01  1.08  1.12  1.16
  1.23  1.27  1.34  1.42  1.46  1.53  1.61  1.68  1.76  1.87  1.98  2.09
  2.21  2.39  2.58  2.88  3.44]",0,0.0,7,0,3,121930200300214244
7,Woody Wetlands,Wetlands,2,1,44.80436087576803,-75.21293170705796,60.041813,97799893.72079404,"[-3.52 -3.29 -3.07 -2.88 -2.73 -2.62 -2.47 -2.36 -2.28 -2.17 -2.09 -1.98
 -1.91 -1.83 -1.76 -1.72 -1.64 -1.57 -1.53 -1.46 -1.42 -1.34 -1.31 -1.27
 -1.19 -1.16 -1.12 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.18  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59
  0.63  0.67  0.71  0.74  0.78  0.82  0.89  0.93  0.97  1.01  1.08  1.12
  1.16  1.23  1.27  1.34  1.42  1.46  1.53  1.61  1.68  1.79  1.87  1.98
  2.09  2.24  2.43  2.69  3.1 ]",0,100.0,7,0,3,121930200300214254
8,Deciduous Forest,Forest,2,1,44.80175480424546,-75.20673229423696,66.39008,97799893.80343404,"[-3.4  -3.14 -2.92 -2.69 -2.54 -2.39 -2.24 -2.13 -2.02 -1.91 -1.83 -1.72
 -1.64 -1.57 -1.49 -1.42 -1.34 -1.27 -1.19 -1.16 -1.08 -1.01 -0.97 -0.89
 -0.86 -0.78 -0.74 -0.67 -0.63 -0.56 -0.52 -0.44 -0.41 -0.37 -0.29 -0.26
 -0.22 -0.14 -0.11 -0.07  0.    0.03  0.07  0.14  0.18  0.26  0.29  0.33
  0.41  0.44  0.52  0.56  0.59  0.67  0.71  0.78  0.86  0.89  0.97  1.01
  1.08  1.16  1.23  1.31  1.38  1.46  1.53  1.61  1.68  1.79  1.87  1.98
  2.09  2.21  2.35  2.5   2.65  2.8   2.99  3.18  3.4   3.63  3.89  4.15
  4.42  4.71  4.98  5.28  5.58  5.91  6.25  6.59  7.    7.41  7.86  8.31
  8.76  9.21  9.66 10.15 10.75]",0,100.0,7,0,3,121930200300214264
9,Pasture/Hay,Planted/Cultivated,2,1,44.79914708230877,-75.20053229096506,64.06053,97799893.88607404,"[-4.   -3.63 -3.29 -3.07 -2.88 -2.69 -2.54 -2.43 -2.32 -2.21 -2.09 -2.02
 -1.91 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.46 -1.38 -1.31 -1.27 -1.23
 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.74 -0.71 -0.67
 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22
 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18  0.22
  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63  0.71
  0.74  0.78  0.82  0.86  0.89  0.97  1.01  1.04  1.12  1.16  1.19  1.27
  1.31  1.38  1.46  1.53  1.57  1.64  1.76  1.83  1.91  2.02  2.13  2.24
  2.39  2.58  2.8   3.14  3.74]",0,0.0,7,1,3,121930200300214274
