,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Mixed Forest,Forest,2,1,41.49604108706204,-74.9800153191082,242.16696,73895131.5376931,"[-2.39 -1.6  -1.01 -0.56 -0.18  0.18  0.56  1.01  1.49  2.02  2.54  3.06
  3.55  3.96  4.34  4.71  5.05  5.39  5.69  5.98  6.28  6.55  6.81  7.03
  7.26  7.52  7.78  8.04  8.34  8.64  8.94  9.24  9.54  9.8  10.07 10.29
 10.51 10.74 10.96 11.19 11.38 11.6  11.83 12.09 12.31 12.54 12.76 12.95
 13.14 13.32 13.47 13.62 13.81 13.96 14.11 14.3  14.45 14.63 14.82 15.04
 15.23 15.46 15.72 15.94 16.17 16.39 16.62 16.84 17.07 17.29 17.52 17.74
 17.93 18.15 18.38 18.56 18.75 18.98 19.16 19.39 19.57 19.8  20.02 20.29
 20.51 20.81 21.07 21.37 21.71 22.05 22.42 22.79 23.17 23.51 23.92 24.29
 24.7  25.15 25.71 26.46 27.29]",0,100.0,7,0,3,79040200200274566
1,Woody Wetlands,Wetlands,2,1,41.49903874128991,-74.97451362371763,310.5995,73895131.6203331,"[-3.74 -3.48 -3.25 -3.03 -2.88 -2.73 -2.62 -2.47 -2.35 -2.28 -2.17 -2.09
 -2.02 -1.94 -1.87 -1.79 -1.72 -1.64 -1.57 -1.53 -1.46 -1.42 -1.34 -1.31
 -1.23 -1.19 -1.16 -1.08 -1.04 -1.01 -0.93 -0.89 -0.86 -0.82 -0.74 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22
 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.14  0.18  0.22  0.26
  0.29  0.33  0.37  0.41  0.44  0.48  0.56  0.59  0.63  0.67  0.71  0.74
  0.82  0.86  0.89  0.97  1.01  1.04  1.12  1.16  1.19  1.27  1.31  1.38
  1.46  1.49  1.57  1.64  1.72  1.79  1.87  1.98  2.05  2.17  2.28  2.43
  2.58  2.77  2.95  3.25  3.78]",0,67.0,7,0,3,79040200200274576
2,Mixed Forest,Forest,2,1,41.50505462861646,-74.96346170643541,311.89395,73895131.7856131,"[-3.48 -3.1  -2.8  -2.58 -2.39 -2.24 -2.09 -1.98 -1.87 -1.75 -1.64 -1.57
 -1.49 -1.38 -1.31 -1.23 -1.16 -1.08 -1.04 -0.97 -0.89 -0.86 -0.78 -0.71
 -0.67 -0.59 -0.56 -0.48 -0.44 -0.37 -0.33 -0.26 -0.22 -0.18 -0.11 -0.07
  0.    0.03  0.07  0.14  0.18  0.26  0.29  0.37  0.41  0.44  0.52  0.56
  0.63  0.71  0.74  0.82  0.89  0.93  1.01  1.08  1.16  1.23  1.31  1.42
  1.49  1.6   1.72  1.83  1.98  2.13  2.32  2.54  2.84  3.21  3.7   4.34
  5.12  6.36  8.53  9.88 10.81 11.64 12.39 13.06 13.77 14.45 15.04 15.61
 16.17 16.69 17.18 17.66 18.15 18.6  19.09 19.54 19.99 20.43 20.88 21.33
 21.78 22.31 22.87 23.5  24.33]",0,100.0,7,0,3,79040200200274596
3,Deciduous Forest,Forest,2,1,41.508064705705145,-74.95793278844896,312.3953,73895131.8682531,"[-4.97 -4.6  -4.3  -4.04 -3.81 -3.59 -3.4  -3.25 -3.06 -2.92 -2.77 -2.65
 -2.5  -2.39 -2.28 -2.13 -2.05 -1.94 -1.83 -1.72 -1.64 -1.53 -1.46 -1.34
 -1.27 -1.16 -1.08 -1.01 -0.93 -0.82 -0.74 -0.67 -0.59 -0.52 -0.44 -0.37
 -0.26 -0.18 -0.11 -0.03  0.03  0.11  0.18  0.26  0.33  0.41  0.48  0.59
  0.67  0.74  0.82  0.89  1.01  1.08  1.19  1.27  1.38  1.46  1.57  1.68
  1.79  1.9   2.02  2.13  2.28  2.39  2.54  2.73  2.88  3.1   3.33  3.55
  3.85  4.19  4.56  5.01  5.57  6.28  7.11  7.93  8.61  9.17  9.69 10.18
 10.63 11.11 11.56 12.05 12.57 13.1  13.7  14.26 14.82 15.38 15.94 16.54
 17.14 17.74 18.41 19.09 19.91]",0,100.0,7,0,3,79040200200274606
4,Mixed Forest,Forest,2,1,41.51107749067069,-74.95239751295827,306.92383,73895131.9508931,"[-3.81 -3.48 -3.21 -2.99 -2.8  -2.65 -2.5  -2.35 -2.24 -2.13 -2.02 -1.9
 -1.83 -1.72 -1.64 -1.57 -1.49 -1.42 -1.34 -1.27 -1.19 -1.16 -1.08 -1.01
 -0.97 -0.89 -0.82 -0.78 -0.71 -0.67 -0.59 -0.56 -0.52 -0.44 -0.41 -0.33
 -0.29 -0.26 -0.18 -0.14 -0.07 -0.03  0.    0.07  0.11  0.14  0.22  0.26
  0.33  0.37  0.41  0.48  0.52  0.59  0.63  0.71  0.74  0.82  0.89  0.93
  1.01  1.08  1.12  1.19  1.27  1.34  1.42  1.49  1.57  1.68  1.75  1.87
  1.98  2.09  2.2   2.35  2.54  2.73  2.95  3.29  3.7   4.26  4.9   5.54
  6.17  6.88  7.82  8.72  9.5  10.18 10.78 11.34 11.86 12.35 12.84 13.29
 13.73 14.18 14.67 15.23 15.98]",0,100.0,7,0,3,79040200200274616
5,Deciduous Forest,Forest,2,1,41.51409724654632,-74.94684245872948,264.92712,73895132.0335501,"[-3.7  -2.99 -2.54 -2.24 -1.98 -1.72 -1.49 -1.27 -1.04 -0.89 -0.71 -0.56
 -0.37 -0.22 -0.11  0.03  0.18  0.33  0.48  0.63  0.78  0.93  1.08  1.23
  1.38  1.53  1.64  1.75  1.9   2.02  2.13  2.24  2.35  2.47  2.58  2.69
  2.8   2.92  3.03  3.14  3.25  3.33  3.44  3.55  3.66  3.78  3.89  4.
  4.11  4.26  4.38  4.52  4.67  4.82  4.97  5.16  5.35  5.61  5.87  6.17
  6.51  6.88  7.33  7.82  8.31  8.76  9.17  9.54  9.95 10.44 11.   11.45
 11.9  12.31 12.72 13.14 13.58 14.03 14.52 15.08 15.68 16.35 17.07 17.78
 18.49 19.31 20.36 21.03 21.56 22.12 22.68 23.24 24.03 24.89 25.49 26.01
 26.46 26.91 27.36 27.89 28.56]",0,100.0,7,0,3,79040200200274626
6,Evergreen Forest,Forest,2,1,41.51710496036726,-74.94129873399079,256.77542,73895132.1162101,"[-2.43 -1.68 -1.16 -0.74 -0.41 -0.07  0.22  0.56  0.93  1.31  1.72  2.54
  5.27  7.03  7.93  8.79  9.65 10.44 11.08 11.56 12.01 12.35 12.72 13.06
 13.36 13.7  14.03 14.37 14.71 15.04 15.34 15.64 15.94 16.24 16.5  16.8
 17.07 17.33 17.59 17.85 18.08 18.3  18.53 18.75 18.94 19.09 19.28 19.46
 19.61 19.8  19.95 20.1  20.29 20.47 20.62 20.81 20.96 21.15 21.3  21.48
 21.63 21.78 21.93 22.08 22.23 22.38 22.53 22.64 22.79 22.94 23.09 23.24
 23.39 23.54 23.73 23.88 24.03 24.18 24.33 24.52 24.67 24.82 24.97 25.12
 25.3  25.45 25.6  25.79 25.98 26.16 26.31 26.54 26.73 26.95 27.17 27.44
 27.7  28.04 28.41 28.86 29.61]",0,87.0,7,0,3,79040200200274636
7,Mixed Forest,Forest,2,1,41.520099384697154,-74.9357750754985,299.33176,73895132.1988687,"[-3.4  -2.62 -2.09 -1.75 -1.49 -1.23 -1.04 -0.86 -0.71 -0.56 -0.41 -0.26
 -0.11  0.    0.14  0.29  0.41  0.56  0.74  0.89  1.08  1.31  1.57  1.83
  2.2   2.73  3.36  4.11  5.24  6.43  7.11  7.71  8.31  8.98  9.69 10.36
 10.96 11.53 12.12 12.84 13.51 14.07 14.6  15.04 15.49 15.98 16.47 16.95
 17.4  17.81 18.23 18.64 19.05 19.46 19.87 20.25 20.62 20.92 21.22 21.52
 21.78 22.08 22.34 22.61 22.87 23.09 23.32 23.5  23.73 23.92 24.14 24.33
 24.48 24.67 24.82 25.   25.15 25.3  25.45 25.6  25.75 25.9  26.01 26.16
 26.35 26.5  26.65 26.84 27.02 27.21 27.4  27.62 27.85 28.11 28.37 28.67
 29.01 29.38 29.79 30.28 31.07]",0,99.0,7,0,3,79040200200274646
8,Mixed Forest,Forest,2,1,41.52310325372193,-74.93023962819164,310.17395,73895132.2815087,"[-4.23 -3.89 -3.63 -3.4  -3.18 -2.99 -2.84 -2.69 -2.54 -2.39 -2.28 -2.17
 -2.05 -1.94 -1.83 -1.75 -1.64 -1.57 -1.49 -1.38 -1.31 -1.23 -1.16 -1.08
 -1.01 -0.93 -0.86 -0.78 -0.71 -0.67 -0.59 -0.52 -0.44 -0.41 -0.33 -0.26
 -0.18 -0.14 -0.07  0.    0.03  0.11  0.18  0.26  0.29  0.37  0.44  0.52
  0.56  0.63  0.71  0.78  0.86  0.93  1.01  1.08  1.16  1.23  1.34  1.42
  1.49  1.6   1.72  1.83  1.94  2.05  2.2   2.32  2.5   2.65  2.84  3.06
  3.29  3.55  3.81  4.11  4.41  4.71  5.05  5.42  5.8   6.21  6.66  7.11
  7.52  7.89  8.27  8.64  9.02  9.39  9.73 10.1  10.48 10.89 11.26 11.71
 12.16 12.69 13.21 13.81 14.52]",0,27.0,7,0,3,79040200200274656
9,Mixed Forest,Forest,2,1,41.52610791212149,-74.92470734409146,326.3205,73895132.3641487,"[-3.51 -3.18 -2.88 -2.65 -2.47 -2.28 -2.13 -1.98 -1.87 -1.75 -1.64 -1.53
 -1.45 -1.34 -1.27 -1.16 -1.08 -1.01 -0.93 -0.86 -0.78 -0.71 -0.63 -0.59
 -0.52 -0.44 -0.37 -0.29 -0.26 -0.18 -0.11 -0.07  0.    0.07  0.14  0.18
  0.26  0.33  0.41  0.44  0.52  0.59  0.67  0.74  0.82  0.89  0.97  1.08
  1.16  1.23  1.34  1.45  1.57  1.68  1.79  1.94  2.13  2.35  2.62  2.95
  3.51  4.82  6.58  7.67  8.49  9.2   9.84 10.48 11.04 11.56 12.09 12.54
 13.02 13.47 13.88 14.26 14.63 14.97 15.31 15.64 15.98 16.32 16.65 16.99
 17.33 17.66 18.04 18.38 18.75 19.16 19.57 20.06 20.51 21.   21.48 21.93
 22.38 22.83 23.32 23.92 24.7 ]",0,100.0,7,0,3,79040200200274666
