,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,shot_number
52840,2,1,43.898227515089346,-75.143496218911,444.26743,73405658.53966965,"[-1.87 -1.79 -1.72 -1.68 -1.6  -1.53 -1.49 -1.42 -1.38 -1.34 -1.27 -1.23
 -1.19 -1.16 -1.12 -1.08 -1.04 -0.97 -0.93 -0.93 -0.89 -0.86 -0.82 -0.78
 -0.74 -0.71 -0.67 -0.63 -0.59 -0.59 -0.56 -0.52 -0.48 -0.44 -0.44 -0.41
 -0.37 -0.33 -0.29 -0.29 -0.26 -0.22 -0.18 -0.18 -0.14 -0.11 -0.07 -0.03
 -0.03  0.    0.03  0.07  0.07  0.11  0.14  0.18  0.22  0.22  0.26  0.29
  0.33  0.33  0.37  0.41  0.44  0.48  0.52  0.52  0.56  0.59  0.63  0.67
  0.71  0.71  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.04  1.08
  1.12  1.16  1.23  1.27  1.31  1.34  1.42  1.45  1.49  1.57  1.64  1.68
  1.75  1.83  1.9   1.98  2.09]",0,100.0,78160200300213721
53390,2,1,43.74519947549552,-74.81005256383538,573.6102,73405663.14293985,"[-4.3  -3.7  -3.36 -3.1  -2.88 -2.69 -2.54 -2.39 -2.28 -2.13 -2.05 -1.94
 -1.83 -1.75 -1.68 -1.6  -1.53 -1.45 -1.38 -1.31 -1.23 -1.16 -1.12 -1.04
 -0.97 -0.93 -0.86 -0.82 -0.74 -0.71 -0.67 -0.59 -0.56 -0.48 -0.44 -0.41
 -0.37 -0.29 -0.26 -0.22 -0.14 -0.11 -0.07 -0.03  0.03  0.07  0.11  0.14
  0.22  0.26  0.29  0.37  0.41  0.44  0.52  0.56  0.59  0.67  0.71  0.78
  0.82  0.89  0.93  1.01  1.04  1.12  1.16  1.23  1.31  1.38  1.45  1.53
  1.6   1.68  1.75  1.83  1.94  2.02  2.13  2.24  2.39  2.54  2.73  2.91
  3.21  3.63  4.75  6.1   6.99  8.27  9.88 11.26 12.09 12.68 13.32 13.96
 14.59 15.16 15.72 16.28 16.95]",0,100.0,78160200300214271
53470,2,1,43.72316581857636,-74.76245184855955,654.6997,73405663.80411544,"[-5.8  -5.24 -4.67 -4.08 -3.55 -3.14 -2.84 -2.62 -2.39 -2.24 -2.09 -1.94
 -1.83 -1.72 -1.6  -1.53 -1.42 -1.34 -1.27 -1.16 -1.08 -1.01 -0.93 -0.86
 -0.78 -0.71 -0.63 -0.56 -0.48 -0.44 -0.37 -0.29 -0.22 -0.14 -0.07  0.
  0.03  0.11  0.18  0.26  0.33  0.41  0.48  0.56  0.63  0.71  0.78  0.86
  0.93  1.01  1.08  1.16  1.23  1.31  1.38  1.45  1.57  1.64  1.72  1.83
  1.9   1.98  2.09  2.2   2.28  2.39  2.47  2.58  2.69  2.8   2.91  3.06
  3.18  3.33  3.44  3.59  3.78  3.93  4.11  4.26  4.45  4.64  4.82  5.01
  5.2   5.46  5.72  6.1   6.51  7.07  7.74  8.31  8.79  9.35 10.06 10.78
 11.37 11.94 12.42 12.91 13.55]",0,98.0,78160200300214351
53480,2,1,43.720415966594814,-74.75650424292917,677.1257,73405663.88675545,"[-5.95 -5.46 -5.12 -4.79 -4.52 -4.26 -4.04 -3.81 -3.59 -3.36 -3.18 -2.99
 -2.8  -2.62 -2.47 -2.28 -2.13 -1.98 -1.83 -1.68 -1.57 -1.42 -1.31 -1.19
 -1.08 -0.97 -0.89 -0.78 -0.71 -0.59 -0.52 -0.41 -0.33 -0.26 -0.14 -0.07
  0.    0.07  0.18  0.26  0.33  0.44  0.52  0.63  0.71  0.82  0.89  1.01
  1.12  1.23  1.34  1.45  1.57  1.72  1.83  1.98  2.13  2.28  2.43  2.58
  2.77  2.91  3.1   3.25  3.44  3.63  3.85  4.11  4.41  4.79  5.27  5.76
  6.13  6.47  6.73  7.03  7.33  7.59  7.89  8.16  8.42  8.68  8.98  9.28
  9.58  9.91 10.21 10.48 10.74 11.   11.3  11.56 11.86 12.16 12.5  12.83
 13.21 13.66 14.14 14.59 15.04]",0,100.0,78160200300214361
53520,2,1,43.70935879815175,-74.7326363625694,652.0036,73405664.21731545,"[-5.54 -5.31 -5.05 -4.86 -4.64 -4.45 -4.22 -4.08 -3.89 -3.7  -3.55 -3.4
 -3.21 -3.06 -2.91 -2.8  -2.65 -2.5  -2.39 -2.24 -2.13 -1.98 -1.87 -1.72
 -1.6  -1.49 -1.38 -1.23 -1.12 -1.01 -0.89 -0.78 -0.67 -0.56 -0.44 -0.33
 -0.22 -0.11  0.    0.11  0.22  0.33  0.44  0.56  0.71  0.82  0.93  1.04
  1.16  1.31  1.42  1.57  1.68  1.83  1.98  2.13  2.28  2.43  2.58  2.77
  2.95  3.14  3.33  3.51  3.74  3.93  4.15  4.37  4.6   4.86  5.09  5.35
  5.61  5.87  6.17  6.51  6.81  7.18  7.52  7.86  8.23  8.57  8.94  9.32
  9.73 10.18 10.66 11.3  12.12 13.25 14.26 15.01 15.6  16.13 16.62 17.06
 17.51 17.93 18.37 18.82 19.35]",0,100.0,78160200300214401
53530,2,1,43.70658117479039,-74.7266358466519,561.5478,73405664.29997545,"[-1.45 -1.01 -0.67 -0.37 -0.11  0.14  0.41  0.67  1.01  1.38  1.75  2.13
  2.5   2.88  3.21  3.51  3.78  4.04  4.3   4.56  4.82  5.12  5.42  5.72
  5.98  6.28  6.55  6.77  7.03  7.26  7.48  7.71  7.93  8.16  8.38  8.6
  8.83  9.05  9.28  9.47  9.69  9.88 10.1  10.29 10.51 10.74 10.93 11.15
 11.37 11.6  11.86 12.16 12.5  12.91 13.32 13.73 14.22 14.89 15.68 16.2
 16.58 16.91 17.25 17.55 17.85 18.11 18.37 18.6  18.86 19.16 19.46 19.76
 20.02 20.25 20.47 20.7  20.92 21.14 21.37 21.59 21.82 22.01 22.23 22.42
 22.64 22.87 23.05 23.28 23.54 23.76 24.03 24.29 24.55 24.81 25.08 25.34
 25.6  25.86 26.2  26.53 27.1 ]",0,87.0,78160200300214411
53540,2,1,43.703822890554015,-74.72069611723232,591.88135,73405664.38263544,"[-4.3  -3.7  -3.29 -2.91 -2.62 -2.35 -2.13 -1.94 -1.79 -1.64 -1.53 -1.38
 -1.27 -1.16 -1.08 -0.97 -0.89 -0.78 -0.71 -0.63 -0.56 -0.44 -0.37 -0.29
 -0.22 -0.14 -0.07  0.    0.03  0.11  0.18  0.26  0.33  0.41  0.52  0.59
  0.67  0.74  0.82  0.93  1.01  1.12  1.19  1.31  1.42  1.49  1.6   1.75
  1.87  1.98  2.13  2.28  2.47  2.62  2.8   3.03  3.25  3.51  3.78  4.08
  4.37  4.71  5.09  5.42  5.8   6.21  6.7   7.22  7.78  8.42  9.05  9.65
 10.18 10.74 11.45 11.97 12.42 12.87 13.28 13.66 13.99 14.33 14.67 15.08
 15.49 15.87 16.2  16.47 16.73 16.99 17.29 17.55 17.85 18.19 18.52 18.9
 19.31 19.87 20.66 21.29 21.86]",0,100.0,78160200300214421
53550,2,1,43.70106838447527,-74.71476875778107,647.9268,73405664.465291,"[-2.69 -2.13 -1.75 -1.42 -1.16 -0.93 -0.71 -0.48 -0.26 -0.03  0.18  0.41
  0.63  0.86  1.08  1.34  1.6   1.9   2.17  2.47  2.77  3.1   3.4   3.66
  3.93  4.19  4.41  4.64  4.94  5.27  5.61  5.95  6.21  6.47  6.7   6.92
  7.14  7.33  7.56  7.78  8.01  8.27  8.6   8.94  9.32  9.69 10.1  10.51
 11.08 11.67 12.09 12.46 12.72 13.02 13.25 13.51 13.77 14.03 14.26 14.52
 14.74 15.01 15.23 15.45 15.64 15.83 16.05 16.2  16.39 16.58 16.73 16.91
 17.06 17.25 17.4  17.59 17.78 17.93 18.11 18.3  18.49 18.67 18.86 19.05
 19.24 19.42 19.65 19.87 20.06 20.28 20.47 20.7  20.88 21.07 21.26 21.48
 21.71 21.97 22.31 22.75 23.32]",0,90.0,78160200300214431
53560,2,1,43.69831443063766,-74.70884262723277,707.4384,73405664.547931,"[-5.87 -5.24 -4.79 -4.41 -4.08 -3.81 -3.59 -3.36 -3.14 -2.95 -2.77 -2.62
 -2.47 -2.32 -2.17 -2.02 -1.9  -1.75 -1.64 -1.53 -1.45 -1.34 -1.27 -1.16
 -1.08 -1.01 -0.93 -0.82 -0.74 -0.71 -0.63 -0.56 -0.48 -0.41 -0.33 -0.26
 -0.22 -0.14 -0.07  0.    0.03  0.11  0.18  0.26  0.33  0.37  0.44  0.52
  0.59  0.67  0.74  0.82  0.89  0.97  1.04  1.12  1.19  1.27  1.34  1.45
  1.53  1.64  1.72  1.83  1.9   2.02  2.13  2.28  2.39  2.54  2.65  2.8
  2.99  3.14  3.33  3.55  3.78  4.04  4.34  4.71  5.09  5.5   5.91  6.28
  6.7   7.18  7.86  8.45  8.98  9.43  9.88 10.33 10.78 11.26 11.86 12.42
 12.87 13.32 13.77 14.26 14.89]",0,100.0,78160200300214441
53570,2,1,43.695543982869594,-74.70285851262851,646.49695,73405664.630571,"[-4.82 -4.19 -3.7  -3.33 -2.99 -2.77 -2.54 -2.32 -2.17 -1.98 -1.83 -1.68
 -1.57 -1.45 -1.34 -1.23 -1.16 -1.04 -0.97 -0.89 -0.82 -0.74 -0.67 -0.59
 -0.52 -0.44 -0.37 -0.29 -0.22 -0.14 -0.07 -0.03  0.03  0.11  0.18  0.26
  0.33  0.41  0.48  0.52  0.59  0.67  0.74  0.82  0.89  0.97  1.04  1.12
  1.19  1.27  1.34  1.42  1.49  1.57  1.64  1.75  1.83  1.9   1.98  2.09
  2.17  2.28  2.35  2.47  2.58  2.69  2.8   2.91  3.03  3.18  3.29  3.44
  3.63  3.78  3.96  4.19  4.45  4.79  5.2   5.76  6.4   7.71  8.98  9.99
 10.81 11.45 12.35 13.36 14.26 15.34 16.02 16.47 16.88 17.29 17.7  18.11
 18.56 19.05 19.57 20.1  20.73]",0,96.0,78160200300214451
