,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Developed Open Space,Developed,2,1,40.62554659279876,-74.1220171940006,0.651783,117606619.12523817,"[-0.18  0.18  0.56  0.97  1.34  1.72  2.09  2.43  2.73  3.03  3.29  3.59
  3.85  4.12  4.42  4.72  5.05  5.43  5.76  6.1   6.44  6.74  7.    7.26
  7.53  7.75  8.01  8.24  8.5   8.72  8.95  9.21  9.44  9.66  9.92 10.15
 10.37 10.56 10.79 11.01 11.2  11.38 11.61 11.8  11.98 12.17 12.36 12.58
 12.77 12.96 13.18 13.37 13.56 13.78 13.97 14.16 14.34 14.53 14.72 14.91
 15.06 15.24 15.43 15.58 15.77 15.96 16.11 16.29 16.48 16.63 16.82 17.
 17.19 17.34 17.53 17.72 17.9  18.09 18.24 18.43 18.62 18.8  18.99 19.18
 19.33 19.51 19.7  19.89 20.08 20.3  20.49 20.71 20.94 21.16 21.43 21.69
 21.99 22.29 22.66 23.11 23.75]",0,100.0,7,0,3,157460200300399376
1,Developed Open Space,Developed,2,1,40.62244874924111,-74.1166389028367,0.031061413,117606619.20787814,"[-4.27 -3.7  -3.37 -3.1  -2.92 -2.73 -2.58 -2.47 -2.32 -2.24 -2.13 -2.06
 -1.94 -1.87 -1.79 -1.72 -1.68 -1.61 -1.53 -1.49 -1.42 -1.38 -1.31 -1.27
 -1.19 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.74 -0.71
 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.26
 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14  0.18
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.67  0.71  0.74  0.82  0.86  0.89  0.93  1.01  1.04  1.08  1.16  1.19
  1.27  1.31  1.38  1.46  1.49  1.57  1.64  1.76  1.83  1.94  2.06  2.17
  2.32  2.54  2.77  3.18  4.08]",9,58.0,7,0,3,157460200300399386
2,Open Water,Water,2,1,40.61934768779612,-74.11126740585229,24.241936,117606619.29051816,"[-2.39 -2.06 -1.76 -1.46 -1.19 -0.93 -0.71 -0.44 -0.22  0.    0.22  0.44
  0.67  0.89  1.16  1.42  1.64  1.91  2.17  2.43  2.69  2.95  3.18  3.44
  3.67  3.89  4.12  4.34  4.53  4.75  4.94  5.13  5.35  5.54  5.73  5.91
  6.1   6.33  6.51  6.7   6.89  7.08  7.3   7.49  7.68  7.9   8.12  8.35
  8.57  8.8   9.06  9.32  9.59  9.85 10.11 10.37 10.63 10.9  11.16 11.42
 11.68 11.98 12.25 12.51 12.77 13.03 13.29 13.52 13.74 13.97 14.16 14.34
 14.53 14.72 14.91 15.09 15.28 15.43 15.62 15.8  15.99 16.18 16.37 16.55
 16.78 16.97 17.19 17.42 17.64 17.9  18.16 18.46 18.8  19.14 19.51 19.93
 20.38 20.82 21.35 21.87 22.55]",2,78.0,7,0,3,157460200300399396
3,Developed Medium Intensity,Developed,2,1,40.6162489184936,-74.10590718289845,7.908312,117606619.37315816,"[-3.44 -3.18 -2.95 -2.77 -2.62 -2.47 -2.32 -2.21 -2.09 -1.98 -1.87 -1.76
 -1.68 -1.61 -1.49 -1.42 -1.34 -1.27 -1.19 -1.12 -1.04 -1.01 -0.93 -0.86
 -0.78 -0.74 -0.67 -0.63 -0.56 -0.48 -0.44 -0.37 -0.33 -0.26 -0.22 -0.14
 -0.11 -0.03  0.    0.07  0.11  0.18  0.22  0.29  0.33  0.41  0.48  0.52
  0.59  0.63  0.71  0.78  0.86  0.89  0.97  1.04  1.12  1.19  1.31  1.38
  1.46  1.57  1.68  1.79  1.91  2.06  2.24  2.43  2.66  2.99  3.4   3.82
  4.27  4.72  5.17  5.69  6.21  6.78  7.3   7.86  8.35  8.84  9.32  9.77
 10.26 10.79 11.27 11.76 12.21 12.66 13.11 13.63 14.12 14.64 15.13 15.58
 16.03 16.44 16.89 17.38 17.98]",0,18.0,7,0,3,157460200300399406
4,Developed Medium Intensity,Developed,2,1,40.61004503315461,-74.0951698961057,29.904377,117606619.53843816,"[-4.12 -3.85 -3.59 -3.33 -3.07 -2.84 -2.62 -2.39 -2.17 -1.98 -1.79 -1.61
 -1.42 -1.23 -1.08 -0.89 -0.74 -0.56 -0.41 -0.26 -0.07  0.07  0.22  0.41
  0.56  0.71  0.89  1.08  1.23  1.42  1.61  1.83  2.02  2.21  2.43  2.65
  2.84  3.03  3.25  3.44  3.67  3.85  4.04  4.23  4.45  4.64  4.83  5.05
  5.24  5.46  5.69  5.91  6.18  6.4   6.66  6.89  7.15  7.41  7.64  7.9
  8.12  8.35  8.57  8.8   9.02  9.21  9.44  9.62  9.81 10.   10.15 10.33
 10.52 10.67 10.86 11.01 11.2  11.35 11.53 11.68 11.87 12.02 12.21 12.4
 12.58 12.77 12.96 13.14 13.33 13.52 13.71 13.89 14.08 14.31 14.49 14.72
 14.98 15.24 15.54 15.92 16.4 ]",8,47.0,7,0,3,157460200300399426
5,Open Water,Water,2,1,40.588384656210536,-74.0575543073821,-32.942776,117606620.11697374,"[-1.87 -1.83 -1.76 -1.72 -1.64 -1.61 -1.53 -1.49 -1.42 -1.38 -1.34 -1.31
 -1.23 -1.19 -1.16 -1.12 -1.08 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82
 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41
 -0.37 -0.37 -0.33 -0.29 -0.26 -0.22 -0.18 -0.18 -0.14 -0.11 -0.07 -0.03
 -0.03  0.    0.03  0.07  0.11  0.14  0.14  0.18  0.22  0.26  0.29  0.33
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.59  0.63  0.67  0.71
  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.04  1.08  1.16  1.19
  1.23  1.27  1.34  1.38  1.42  1.49  1.53  1.61  1.68  1.72  1.79  1.87
  1.94  2.06  2.13  2.24  2.39]",100,0.0,7,0,3,157460200300399496
6,Open Water,Water,2,1,40.58528896058894,-74.05218160074853,-32.81483,117606620.19961376,"[-1.98 -1.91 -1.87 -1.79 -1.72 -1.64 -1.61 -1.53 -1.49 -1.46 -1.38 -1.34
 -1.31 -1.23 -1.19 -1.16 -1.12 -1.08 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86
 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.44
 -0.41 -0.37 -0.33 -0.29 -0.26 -0.22 -0.22 -0.18 -0.14 -0.11 -0.07 -0.07
 -0.03  0.    0.03  0.07  0.11  0.11  0.14  0.18  0.22  0.26  0.29  0.29
  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.56  0.59  0.63  0.67  0.71
  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.08  1.12  1.16  1.19
  1.27  1.31  1.34  1.42  1.46  1.53  1.57  1.64  1.72  1.79  1.87  1.98
  2.06  2.17  2.28  2.43  2.58]",100,0.0,0,0,3,157460200300399506
7,Open Water,Water,2,1,40.5821897398366,-74.04681430800187,-32.74755,117606620.28225376,"[-2.32 -2.24 -2.17 -2.09 -2.02 -1.94 -1.91 -1.83 -1.76 -1.72 -1.64 -1.61
 -1.53 -1.49 -1.46 -1.38 -1.34 -1.31 -1.27 -1.19 -1.16 -1.12 -1.08 -1.04
 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59
 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33 -0.29 -0.29 -0.26 -0.22 -0.18
 -0.14 -0.11 -0.07 -0.03  0.    0.    0.03  0.07  0.11  0.14  0.18  0.22
  0.26  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.52  0.56  0.59  0.63
  0.67  0.71  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.04  1.08  1.12
  1.16  1.23  1.27  1.31  1.38  1.42  1.49  1.57  1.64  1.68  1.76  1.87
  1.94  2.06  2.17  2.28  2.47]",100,0.0,7,0,3,157460200300399516
8,Open Water,Water,2,1,40.57908883059181,-74.04145140710123,-33.064007,117606620.36489376,"[-1.98 -1.91 -1.83 -1.79 -1.72 -1.64 -1.57 -1.53 -1.46 -1.42 -1.38 -1.31
 -1.27 -1.23 -1.19 -1.12 -1.08 -1.04 -1.01 -0.97 -0.93 -0.89 -0.86 -0.82
 -0.78 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37
 -0.33 -0.29 -0.26 -0.22 -0.18 -0.14 -0.14 -0.11 -0.07 -0.03  0.    0.03
  0.07  0.11  0.14  0.18  0.22  0.22  0.26  0.29  0.33  0.37  0.41  0.44
  0.48  0.52  0.56  0.59  0.63  0.67  0.71  0.74  0.78  0.82  0.86  0.89
  0.93  0.97  1.04  1.08  1.12  1.16  1.19  1.27  1.31  1.34  1.42  1.46
  1.49  1.57  1.64  1.68  1.76  1.83  1.87  1.94  2.02  2.13  2.21  2.32
  2.39  2.51  2.66  2.77  2.96]",100,0.0,0,0,3,157460200300399526
9,Open Water,Water,2,1,40.575988810352825,-74.03609064659214,-32.848625,117606620.44753376,"[-1.94 -1.91 -1.83 -1.79 -1.72 -1.68 -1.61 -1.57 -1.53 -1.46 -1.42 -1.38
 -1.34 -1.31 -1.23 -1.19 -1.16 -1.12 -1.08 -1.04 -1.01 -0.97 -0.93 -0.89
 -0.86 -0.82 -0.78 -0.74 -0.74 -0.71 -0.67 -0.63 -0.59 -0.56 -0.52 -0.52
 -0.48 -0.44 -0.41 -0.37 -0.33 -0.33 -0.29 -0.26 -0.22 -0.18 -0.18 -0.14
 -0.11 -0.07 -0.03 -0.03  0.    0.03  0.07  0.11  0.11  0.14  0.18  0.22
  0.26  0.29  0.29  0.33  0.37  0.41  0.44  0.48  0.48  0.52  0.56  0.59
  0.63  0.67  0.71  0.74  0.78  0.82  0.86  0.89  0.93  0.97  1.01  1.04
  1.08  1.12  1.19  1.23  1.27  1.34  1.38  1.46  1.49  1.57  1.64  1.68
  1.79  1.87  1.94  2.06  2.21]",100,0.0,0,0,3,157460200300399536
