,Class,Group,beam,channel,lat_lowestmode,lon_lowestmode,elev_lowestmode,delta_time,rh,land_cover_data/landsat_water_persistence,land_cover_data/landsat_treecover,land_cover_data/region_class,land_cover_data/urban_proportion,land_cover_data/urban_focal_window_size,shot_number
0,Deciduous Forest,Forest,2,1,42.02935141171347,-75.9448117279439,402.10294,52221060.50591505,"[-3.37 -2.5  -1.87 -1.34 -0.93 -0.59 -0.26  0.03  0.33  0.67  1.01  1.38
  1.79  2.2   2.62  2.99  3.37  3.74  4.11  4.53  4.9   5.31  5.69  6.06
  6.4   6.74  7.04  7.37  7.67  8.01  8.35  8.68  8.98  9.32  9.62  9.92
 10.26 10.59 10.89 11.19 11.49 11.76 12.02 12.28 12.54 12.8  13.07 13.29
 13.52 13.74 14.   14.23 14.49 14.71 14.94 15.16 15.39 15.58 15.76 15.95
 16.14 16.29 16.47 16.62 16.81 16.96 17.15 17.3  17.45 17.6  17.75 17.9
 18.01 18.16 18.31 18.46 18.61 18.76 18.87 19.02 19.17 19.32 19.47 19.58
 19.73 19.88 20.03 20.18 20.33 20.52 20.67 20.86 21.04 21.23 21.46 21.68
 21.98 22.28 22.62 23.1  24.  ]",0,97.0,7,0,3,40140200200143369
1,Developed Open Space,Developed,2,1,42.03231590376337,-75.93916816457289,379.01733,52221060.58855505,"[-3.52 -3.14 -2.84 -2.58 -2.39 -2.17 -2.02 -1.87 -1.72 -1.61 -1.46 -1.34
 -1.23 -1.16 -1.04 -0.97 -0.86 -0.78 -0.67 -0.59 -0.52 -0.44 -0.37 -0.29
 -0.22 -0.14 -0.03  0.03  0.11  0.18  0.26  0.33  0.41  0.48  0.59  0.67
  0.74  0.86  0.93  1.04  1.16  1.27  1.38  1.49  1.64  1.83  2.02  2.24
  2.54  2.95  3.55  4.41  5.28  6.02  6.7   7.34  7.93  8.5   9.02  9.55
 10.07 10.52 10.97 11.42 11.83 12.2  12.58 12.92 13.25 13.59 13.93 14.26
 14.56 14.86 15.13 15.43 15.69 15.95 16.21 16.44 16.7  16.96 17.22 17.45
 17.71 17.93 18.2  18.42 18.65 18.83 19.06 19.28 19.51 19.73 19.99 20.26
 20.59 20.97 21.42 22.02 22.77]",0,71.0,7,0,3,40140200200143379
2,Deciduous Forest,Forest,2,1,42.047097445163566,-75.91100538749356,465.86136,52221061.00175505,"[-4.56 -4.23 -3.85 -3.44 -3.03 -2.69 -2.35 -2.09 -1.87 -1.64 -1.42 -1.23
 -1.08 -0.93 -0.78 -0.63 -0.48 -0.37 -0.26 -0.11  0.    0.11  0.22  0.37
  0.48  0.63  0.74  0.89  1.04  1.16  1.31  1.46  1.61  1.72  1.87  2.02
  2.13  2.28  2.39  2.54  2.65  2.8   2.92  3.03  3.14  3.29  3.4   3.52
  3.63  3.78  3.89  4.    4.11  4.23  4.34  4.45  4.56  4.68  4.79  4.9
  5.01  5.09  5.2   5.31  5.39  5.5   5.61  5.69  5.8   5.88  5.99  6.1
  6.17  6.29  6.4   6.47  6.59  6.7   6.77  6.89  7.    7.11  7.22  7.34
  7.49  7.6   7.75  7.9   8.05  8.2   8.38  8.61  8.8   9.02  9.25  9.43
  9.66  9.85 10.11 10.37 10.78]",0,100.0,7,0,3,40140200200143429
3,Mixed Forest,Forest,2,1,42.05035559091363,-75.90480468807506,438.29507,52221061.09267505,"[-3.7  -2.88 -2.24 -1.68 -1.08 -0.56 -0.07  0.33  0.82  1.31  1.72  2.05
  2.39  2.65  2.92  3.18  3.4   3.63  3.85  4.04  4.23  4.41  4.6   4.79
  4.94  5.13  5.28  5.43  5.58  5.73  5.88  6.02  6.14  6.29  6.4   6.51
  6.62  6.74  6.85  6.96  7.07  7.19  7.26  7.37  7.45  7.56  7.64  7.75
  7.82  7.93  8.01  8.12  8.2   8.27  8.38  8.46  8.57  8.65  8.76  8.83
  8.91  9.02  9.1   9.21  9.32  9.4   9.51  9.62  9.73  9.81  9.92 10.07
 10.18 10.29 10.41 10.56 10.67 10.82 10.97 11.12 11.23 11.38 11.53 11.68
 11.87 12.02 12.17 12.35 12.5  12.69 12.84 13.03 13.22 13.44 13.67 13.89
 14.19 14.53 14.98 15.54 16.29]",0,94.0,7,0,3,40140200200143439
4,Evergreen Forest,Forest,2,1,42.05332206154179,-75.899164881152,391.72723,52221061.17533505,"[-2.17 -1.01 -0.22  0.48  1.53  2.47  3.14  3.74  4.34  5.05  5.73  6.36
  7.04  7.64  8.05  8.42  8.76  9.1   9.4   9.7   9.96 10.22 10.44 10.63
 10.86 11.04 11.23 11.38 11.57 11.76 11.9  12.05 12.24 12.39 12.54 12.69
 12.84 12.99 13.14 13.29 13.44 13.59 13.74 13.89 14.04 14.19 14.34 14.45
 14.6  14.75 14.86 15.01 15.16 15.28 15.43 15.58 15.73 15.87 15.99 16.14
 16.29 16.44 16.59 16.74 16.89 17.04 17.15 17.3  17.45 17.6  17.75 17.93
 18.08 18.23 18.38 18.53 18.68 18.83 18.95 19.1  19.25 19.4  19.51 19.66
 19.81 19.96 20.11 20.26 20.41 20.59 20.74 20.93 21.12 21.34 21.57 21.83
 22.17 22.54 23.07 23.74 24.9 ]",0,85.0,7,0,3,40140200200143449
5,Pasture/Hay,Planted/Cultivated,2,1,42.056284068906976,-75.89353038043342,381.89087,52221061.2579946,"[-4.15 -3.82 -3.55 -3.33 -3.14 -2.99 -2.84 -2.73 -2.58 -2.5  -2.39 -2.28
 -2.2  -2.13 -2.05 -1.94 -1.91 -1.83 -1.76 -1.68 -1.61 -1.57 -1.49 -1.46
 -1.38 -1.34 -1.27 -1.23 -1.16 -1.12 -1.08 -1.01 -0.97 -0.93 -0.89 -0.82
 -0.78 -0.74 -0.71 -0.67 -0.59 -0.56 -0.52 -0.48 -0.44 -0.41 -0.37 -0.33
 -0.26 -0.22 -0.18 -0.14 -0.11 -0.07 -0.03  0.    0.03  0.07  0.11  0.14
  0.22  0.26  0.29  0.33  0.37  0.41  0.44  0.48  0.56  0.59  0.63  0.67
  0.71  0.78  0.82  0.86  0.89  0.97  1.01  1.08  1.12  1.16  1.23  1.27
  1.34  1.42  1.49  1.53  1.61  1.68  1.79  1.87  1.94  2.05  2.17  2.32
  2.47  2.65  2.92  3.25  3.89]",0,4.0,7,0,3,40140200200143459
6,Mixed Forest,Forest,2,1,42.059245410199686,-75.88789314493782,372.78998,52221061.3406346,"[-3.67 -2.84 -2.05 -1.23 -0.74 -0.37 -0.03  0.29  0.63  1.01  1.34  1.64
  1.98  2.28  2.58  2.95  3.44  4.19  5.16  6.32  7.22  8.01  8.83  9.62
 10.41 11.16 11.79 12.32 12.77 13.1  13.44 13.74 14.04 14.3  14.56 14.83
 15.09 15.35 15.61 15.87 16.1  16.29 16.47 16.62 16.81 16.96 17.07 17.22
 17.37 17.49 17.64 17.75 17.9  18.01 18.16 18.27 18.38 18.5  18.61 18.72
 18.87 18.98 19.1  19.21 19.32 19.43 19.55 19.66 19.77 19.88 19.99 20.11
 20.22 20.33 20.44 20.56 20.67 20.78 20.93 21.04 21.16 21.27 21.38 21.49
 21.61 21.72 21.83 21.98 22.09 22.2  22.32 22.47 22.58 22.77 22.92 23.1
 23.33 23.63 24.04 24.6  25.43]",0,89.0,7,0,3,40140200200143469
7,Deciduous Forest,Forest,2,1,42.06220879491726,-75.88224641967084,338.96057,52221061.4232746,"[-1.04 -0.48  0.03  0.56  1.19  1.98  3.22  4.53  5.54  6.44  7.26  8.01
  8.57  9.1   9.51  9.96 10.33 10.71 11.12 11.49 11.87 12.24 12.62 12.95
 13.29 13.59 13.85 14.11 14.34 14.6  14.83 15.01 15.24 15.43 15.61 15.84
 16.02 16.17 16.36 16.55 16.7  16.89 17.04 17.19 17.34 17.49 17.64 17.79
 17.93 18.08 18.23 18.35 18.5  18.65 18.8  18.91 19.06 19.21 19.32 19.47
 19.58 19.73 19.88 19.99 20.14 20.26 20.41 20.56 20.67 20.82 20.93 21.08
 21.23 21.34 21.49 21.64 21.79 21.94 22.05 22.2  22.35 22.54 22.69 22.84
 22.99 23.14 23.33 23.48 23.67 23.85 24.04 24.23 24.41 24.68 24.9  25.2
 25.5  25.91 26.36 26.96 27.86]",0,79.0,7,0,3,40140200200143479
8,Pasture/Hay,Planted/Cultivated,2,1,42.08587740248867,-75.83706258994975,242.41225,52221062.0844086,"[-5.39 -4.94 -4.56 -4.23 -3.93 -3.7  -3.48 -3.29 -3.14 -2.99 -2.84 -2.73
 -2.62 -2.5  -2.39 -2.28 -2.2  -2.13 -2.02 -1.94 -1.87 -1.79 -1.72 -1.64
 -1.57 -1.53 -1.46 -1.38 -1.34 -1.27 -1.19 -1.16 -1.08 -1.04 -0.97 -0.93
 -0.86 -0.82 -0.74 -0.71 -0.67 -0.59 -0.56 -0.52 -0.44 -0.41 -0.37 -0.29
 -0.26 -0.22 -0.14 -0.11 -0.07  0.    0.03  0.07  0.14  0.18  0.22  0.29
  0.33  0.37  0.44  0.48  0.52  0.59  0.63  0.71  0.74  0.82  0.86  0.93
  0.97  1.04  1.08  1.16  1.19  1.27  1.34  1.42  1.49  1.53  1.61  1.68
  1.76  1.87  1.94  2.02  2.13  2.24  2.35  2.47  2.58  2.73  2.92  3.1
  3.29  3.55  3.93  4.38  5.2 ]",0,46.0,7,0,3,40140200200143559
9,Developed Open Space,Developed,2,1,42.08883356145618,-75.83140839113918,227.54433,52221062.1670686,"[-4.83 -4.53 -4.26 -4.04 -3.85 -3.7  -3.55 -3.4  -3.29 -3.14 -3.03 -2.92
 -2.84 -2.73 -2.65 -2.54 -2.47 -2.39 -2.32 -2.2  -2.13 -2.05 -2.02 -1.94
 -1.87 -1.79 -1.72 -1.64 -1.61 -1.53 -1.46 -1.42 -1.34 -1.31 -1.23 -1.19
 -1.12 -1.04 -1.01 -0.97 -0.89 -0.86 -0.78 -0.74 -0.67 -0.63 -0.59 -0.52
 -0.48 -0.41 -0.37 -0.33 -0.26 -0.22 -0.18 -0.11 -0.07 -0.03  0.03  0.07
  0.14  0.18  0.22  0.29  0.33  0.37  0.44  0.48  0.56  0.59  0.63  0.71
  0.74  0.82  0.86  0.93  0.97  1.04  1.08  1.16  1.23  1.27  1.34  1.42
  1.49  1.57  1.64  1.72  1.79  1.87  1.98  2.05  2.17  2.28  2.39  2.54
  2.69  2.88  3.1   3.44  3.96]",0,0.0,7,0,3,40140200200143569
10,Deciduous Forest,Forest,2,1,42.10359717648343,-75.80315370989477,285.5584,52221062.58029015,"[-1.34 -1.04 -0.78 -0.56 -0.37 -0.18  0.03  0.22  0.41  0.63  0.86  1.08
  1.34  1.61  1.91  2.2   2.54  2.84  3.1   3.37  3.59  3.82  4.04  4.3
  4.6   4.94  5.31  5.65  5.99  6.25  6.55  6.85  7.19  7.56  7.97  8.31
  8.61  8.91  9.28  9.81 10.44 11.27 12.13 12.69 13.14 13.59 13.96 14.26
 14.53 14.75 14.94 15.13 15.31 15.5  15.69 15.91 16.14 16.44 16.74 17.07
 17.34 17.6  17.82 18.05 18.23 18.42 18.65 18.83 19.02 19.21 19.36 19.55
 19.73 19.88 20.03 20.18 20.33 20.44 20.59 20.74 20.86 21.01 21.12 21.27
 21.46 21.61 21.79 22.02 22.24 22.5  22.77 22.99 23.22 23.4  23.63 23.85
 24.08 24.3  24.56 24.86 25.2 ]",0,99.0,7,0,3,40140200200143619
11,Deciduous Forest,Forest,2,1,42.112429030907904,-75.78623662057248,450.15143,52221062.82821015,"[-2.17 -1.98 -1.76 -1.49 -1.19 -0.93 -0.67 -0.44 -0.22  0.    0.18  0.41
  0.67  0.89  1.16  1.42  1.68  1.94  2.17  2.35  2.54  2.69  2.84  3.03
  3.18  3.29  3.44  3.59  3.74  3.89  4.08  4.23  4.41  4.6   4.79  4.98
  5.13  5.31  5.46  5.58  5.73  5.84  5.95  6.06  6.14  6.25  6.32  6.4
  6.51  6.59  6.66  6.74  6.81  6.89  7.    7.07  7.15  7.22  7.3   7.41
  7.49  7.56  7.67  7.79  7.86  7.97  8.08  8.2   8.31  8.42  8.53  8.65
  8.72  8.83  8.95  9.02  9.13  9.21  9.32  9.4   9.51  9.58  9.7   9.81
  9.88  9.99 10.11 10.22 10.33 10.48 10.59 10.74 10.89 11.04 11.23 11.42
 11.61 11.83 12.02 12.24 12.5 ]",0,100.0,7,0,3,40140200200143649
